,AAC_A,AAC_R,AAC_N,AAC_D,AAC_C,AAC_E,AAC_Q,AAC_G,AAC_H,AAC_I,AAC_L,AAC_K,AAC_M,AAC_F,AAC_P,AAC_S,AAC_T,AAC_W,AAC_Y,AAC_V
DVU0001,0.118993135011442,0.0983981693363844,0.022883295194508,0.068649885583524,0.0205949656750572,0.0594965675057208,0.0503432494279176,0.0503432494279176,0.045766590389016,0.0274599542334096,0.135011441647597,0.0320366132723112,0.0183066361556064,0.0503432494279176,0.0411899313501144,0.0411899313501144,0.0434782608695652,0.0045766590389016,0.0205949656750572,0.0503432494279176
DVU0002,0.0859375,0.0546875,0.0390625,0.0703125,0.0130208333333333,0.0885416666666667,0.0390625,0.0833333333333333,0.0130208333333333,0.0598958333333333,0.104166666666667,0.0442708333333333,0.0260416666666667,0.0390625,0.0364583333333333,0.0520833333333333,0.0364583333333333,0.0104166666666667,0.0390625,0.0651041666666667
DVU0003,0.0776942355889724,0.0802005012531328,0.0413533834586466,0.0651629072681704,0.006265664160401,0.0852130325814536,0.0288220551378446,0.0989974937343358,0.0200501253132832,0.050125313283208,0.0852130325814536,0.050125313283208,0.0225563909774436,0.043859649122807,0.0275689223057644,0.050125313283208,0.0601503759398496,0.006265664160401,0.0275689223057644,0.0726817042606516
DVU0004,0.0759345794392523,0.0922897196261682,0.0315420560747664,0.0747663551401869,0.00467289719626168,0.0724299065420561,0.0303738317757009,0.0817757009345794,0.0245327102803738,0.0654205607476635,0.0946261682242991,0.0467289719626168,0.0268691588785047,0.0257009345794393,0.0338785046728972,0.0502336448598131,0.0560747663551402,0.00116822429906542,0.0268691588785047,0.0841121495327103
DVU0005,0.122605363984674,0.130268199233716,0.0344827586206897,0.053639846743295,0.0153256704980843,0.114942528735632,0.0191570881226054,0.0613026819923372,0.0114942528735632,0.0229885057471264,0.164750957854406,0.0114942528735632,0.0153256704980843,0.0229885057471264,0.0306513409961686,0.0229885057471264,0.0498084291187739,0.0153256704980843,0.0191570881226054,0.0613026819923372
DVU0006,0.116883116883117,0.0714285714285714,0.025974025974026,0.051948051948052,0.038961038961039,0.0649350649350649,0.038961038961039,0.0909090909090909,0.025974025974026,0.051948051948052,0.0844155844155844,0.0194805194805195,0.025974025974026,0,0.0649350649350649,0.038961038961039,0.0779220779220779,0,0.0194805194805195,0.0909090909090909
DVU0007,0.0954446854663774,0.0824295010845987,0.0368763557483731,0.0542299349240781,0.0130151843817787,0.0911062906724512,0.0260303687635575,0.0780911062906725,0.017353579175705,0.052060737527115,0.0954446854663774,0.0303687635574837,0.0216919739696312,0.0585683297180043,0.0433839479392625,0.0368763557483731,0.0629067245119306,0.0108459869848156,0.0325379609544469,0.0607375271149675
DVU0008,0.0975609756097561,0.0975609756097561,0.0731707317073171,0,0.024390243902439,0.024390243902439,0,0,0.0975609756097561,0.121951219512195,0.0731707317073171,0,0.121951219512195,0,0.024390243902439,0.0975609756097561,0.0731707317073171,0,0.024390243902439,0.0487804878048781
DVU0009,0.164319248826291,0.0375586854460094,0.00704225352112676,0.0234741784037559,0.0117370892018779,0.0187793427230047,0.0117370892018779,0.105633802816901,0.00938967136150235,0.0727699530516432,0.157276995305164,0.00469483568075117,0.0492957746478873,0.0375586854460094,0.0563380281690141,0.0586854460093897,0.039906103286385,0.0140845070422535,0.00938967136150235,0.110328638497653
DVU0010,0.164893617021277,0.0904255319148936,0.00531914893617021,0.0478723404255319,0.0106382978723404,0.0212765957446809,0.0212765957446809,0.0851063829787234,0.0478723404255319,0.0265957446808511,0.164893617021277,0.00531914893617021,0.0319148936170213,0.0372340425531915,0.0478723404255319,0.0478723404255319,0.0478723404255319,0.0212765957446809,0.00531914893617021,0.0691489361702128
