,CTDT_prop1.Tr1221,CTDT_prop1.Tr1331,CTDT_prop1.Tr2332,CTDT_prop2.Tr1221,CTDT_prop2.Tr1331,CTDT_prop2.Tr2332,CTDT_prop3.Tr1221,CTDT_prop3.Tr1331,CTDT_prop3.Tr2332,CTDT_prop4.Tr1221,CTDT_prop4.Tr1331,CTDT_prop4.Tr2332,CTDT_prop5.Tr1221,CTDT_prop5.Tr1331,CTDT_prop5.Tr2332,CTDT_prop6.Tr1221,CTDT_prop6.Tr1331,CTDT_prop6.Tr2332,CTDT_prop7.Tr1221,CTDT_prop7.Tr1331,CTDT_prop7.Tr2332
DVU0001,0.217889908256881,0.204128440366972,0.243119266055046,0.256880733944954,0.208715596330275,0.197247706422018,0.215596330275229,0.254587155963303,0.185779816513761,0.261467889908257,0.172018348623853,0.23394495412844,0.185779816513761,0.0435779816513761,0.190366972477064,0.215596330275229,0.213302752293578,0.114678899082569,0.277522935779817,0.197247706422018,0.144495412844037
DVU0002,0.245430809399478,0.240208877284595,0.203655352480418,0.29242819843342,0.140992167101828,0.174934725848564,0.198433420365535,0.281984334203655,0.214099216710183,0.297650130548303,0.120104438642298,0.195822454308094,0.138381201044386,0.0182767624020888,0.248041775456919,0.240208877284595,0.258485639686684,0.143603133159269,0.365535248041775,0.195822454308094,0.120104438642298
DVU0003,0.278544542032622,0.208281053952321,0.205771643663739,0.293601003764115,0.190715181932246,0.181932245922208,0.191969887076537,0.249686323713927,0.262233375156838,0.284818067754078,0.176913425345044,0.19573400250941,0.196988707653701,0.0338770388958595,0.227101631116688,0.248431618569636,0.262233375156838,0.139272271016311,0.327478042659975,0.180677540777917,0.159347553324969
DVU0004,0.233918128654971,0.210526315789474,0.20233918128655,0.270175438596491,0.180116959064327,0.185964912280702,0.19766081871345,0.247953216374269,0.205847953216374,0.270175438596491,0.16140350877193,0.204678362573099,0.190643274853801,0.0362573099415205,0.192982456140351,0.249122807017544,0.24327485380117,0.143859649122807,0.300584795321637,0.180116959064327,0.143859649122807
DVU0005,0.276923076923077,0.234615384615385,0.192307692307692,0.326923076923077,0.157692307692308,0.180769230769231,0.176923076923077,0.25,0.261538461538462,0.311538461538462,0.142307692307692,0.196153846153846,0.211538461538462,0.0307692307692308,0.284615384615385,0.269230769230769,0.223076923076923,0.1,0.380769230769231,0.111538461538462,0.130769230769231
DVU0006,0.26797385620915,0.124183006535948,0.222222222222222,0.352941176470588,0.163398692810458,0.0915032679738562,0.202614379084967,0.156862745098039,0.261437908496732,0.339869281045752,0.117647058823529,0.137254901960784,0.163398692810458,0.0196078431372549,0.189542483660131,0.235294117647059,0.254901960784314,0.156862745098039,0.248366013071895,0.235294117647059,0.143790849673203
DVU0007,0.223913043478261,0.232608695652174,0.232608695652174,0.289130434782609,0.193478260869565,0.167391304347826,0.221739130434783,0.260869565217391,0.204347826086957,0.280434782608696,0.16304347826087,0.197826086956522,0.173913043478261,0.0260869565217391,0.221739130434783,0.26304347826087,0.221739130434783,0.169565217391304,0.321739130434783,0.202173913043478,0.134782608695652
DVU0008,0.175,0.175,0.225,0.15,0.2,0.225,0.1,0.3,0.2,0.2,0.15,0.275,0.2,0,0.05,0.35,0.1,0.1,0.15,0.425,0.2
DVU0009,0.0870588235294118,0.0870588235294118,0.390588235294118,0.331764705882353,0.141176470588235,0.134117647058824,0.385882352941176,0.0964705882352941,0.0870588235294118,0.32,0.122352941176471,0.152941176470588,0.0682352941176471,0.00705882352941176,0.0776470588235294,0.261176470588235,0.221176470588235,0.171764705882353,0.131764705882353,0.296470588235294,0.0423529411764706
DVU0010,0.192513368983957,0.0962566844919786,0.336898395721925,0.245989304812834,0.219251336898396,0.128342245989305,0.310160427807487,0.133689839572193,0.18716577540107,0.272727272727273,0.197860962566845,0.149732620320856,0.160427807486631,0.0213903743315508,0.0962566844919786,0.262032085561497,0.25668449197861,0.0802139037433155,0.18716577540107,0.240641711229947,0.101604278074866
DVU0011,0.191176470588235,0.188235294117647,0.273529411764706,0.279411764705882,0.179411764705882,0.185294117647059,0.238235294117647,0.229411764705882,0.185294117647059,0.264705882352941,0.141176470588235,0.223529411764706,0.152941176470588,0.0264705882352941,0.161764705882353,0.273529411764706,0.232352941176471,0.120588235294118,0.258823529411765,0.264705882352941,0.120588235294118
DVU0012,0.268170426065163,0.162907268170426,0.220551378446115,0.31328320802005,0.170426065162907,0.132832080200501,0.218045112781955,0.19047619047619,0.260651629072682,0.295739348370927,0.147869674185464,0.155388471177945,0.172932330827068,0.0175438596491228,0.218045112781955,0.218045112781955,0.295739348370927,0.12280701754386,0.305764411027569,0.228070175438596,0.12531328320802
DVU0013,0.237936772046589,0.194675540765391,0.224625623960067,0.282861896838602,0.209650582362729,0.178036605657238,0.221297836938436,0.211314475873544,0.227953410981697,0.276206322795341,0.186356073211314,0.201331114808652,0.19134775374376,0.0449251247920133,0.201331114808652,0.24126455906822,0.252911813643927,0.116472545757072,0.302828618968386,0.201331114808652,0.129783693843594
DVU0014,0.197183098591549,0.352112676056338,0.197183098591549,0.225352112676056,0.169014084507042,0.169014084507042,0.183098591549296,0.394366197183099,0.183098591549296,0.211267605633803,0.154929577464789,0.183098591549296,0.267605633802817,0.028169014084507,0.225352112676056,0.295774647887324,0.183098591549296,0.0704225352112676,0.436619718309859,0.211267605633803,0.112676056338028
DVU0015,0.152671755725191,0.129770992366412,0.347328244274809,0.274809160305344,0.225190839694656,0.198473282442748,0.324427480916031,0.145038167938931,0.152671755725191,0.274809160305344,0.187022900763359,0.236641221374046,0.106870229007634,0.00763358778625954,0.099236641221374,0.267175572519084,0.206106870229008,0.175572519083969,0.194656488549618,0.274809160305344,0.0877862595419847
DVU0016,0.121212121212121,0.181818181818182,0.272727272727273,0.181818181818182,0.212121212121212,0.242424242424242,0.242424242424242,0.212121212121212,0.212121212121212,0.242424242424242,0.212121212121212,0.242424242424242,0.242424242424242,0,0.0606060606060606,0.333333333333333,0.242424242424242,0.0909090909090909,0.242424242424242,0.181818181818182,0.0606060606060606
DVU0017,0.157894736842105,0.175438596491228,0.333333333333333,0.228070175438596,0.192982456140351,0.228070175438596,0.263157894736842,0.245614035087719,0.157894736842105,0.245614035087719,0.175438596491228,0.245614035087719,0.157894736842105,0.0350877192982456,0.140350877192982,0.263157894736842,0.228070175438596,0.157894736842105,0.192982456140351,0.333333333333333,0.140350877192982
DVU0018,0.260695187165775,0.195187165775401,0.199197860962567,0.302139037433155,0.181818181818182,0.168449197860963,0.189839572192513,0.212566844919786,0.259358288770053,0.290106951871658,0.161764705882353,0.188502673796791,0.185828877005348,0.0294117647058824,0.211229946524064,0.224598930481283,0.27807486631016,0.10427807486631,0.334224598930481,0.163101604278075,0.121657754010695
DVU0019,0.27363184079602,0.164179104477612,0.218905472636816,0.258706467661692,0.218905472636816,0.189054726368159,0.208955223880597,0.238805970149254,0.248756218905473,0.278606965174129,0.189054726368159,0.218905472636816,0.169154228855721,0.0298507462686567,0.208955223880597,0.293532338308458,0.17910447761194,0.149253731343284,0.288557213930348,0.248756218905473,0.149253731343284
DVU0020,0.170212765957447,0.0851063829787234,0.276595744680851,0.212765957446809,0.106382978723404,0.127659574468085,0.276595744680851,0.0851063829787234,0.170212765957447,0.361702127659574,0.0638297872340425,0.170212765957447,0.106382978723404,0.0212765957446809,0.106382978723404,0.234042553191489,0.297872340425532,0.148936170212766,0.191489361702128,0.361702127659574,0.0638297872340425
