,TCC_Dnase I.Nucleosome.lag.1,TCC_Dnase I.Nucleosome.lag.2,TCC_Nucleosome.Dnase I.lag.1,TCC_Nucleosome.Dnase I.lag.2
DVU0001,-0.168,-0.076,-0.184,-0.066
DVU0002,-0.174,-0.056,-0.107,0.009
DVU0003,-0.115,-0.005,-0.102,-0.016
DVU0004,-0.138,-0.031,-0.13,-0.037
DVU0005,-0.145,-0.047,-0.115,-0.029
DVU0006,-0.118,-0.056,-0.138,-0.067
DVU0007,-0.155,-0.055,-0.144,-0.047
DVU0008,-0.152,-0.019,-0.2,-0.168
DVU0009,-0.063,0.038,-0.016,0.029
DVU0010,-0.071,0.034,-0.107,0.019
DVU0011,-0.111,-0.025,-0.107,-0.019
DVU0012,-0.097,-0.023,-0.077,0.003
DVU0013,-0.126,-0.042,-0.098,-0.003
DVU0014,-0.151,-0.022,-0.118,-0.12
DVU0015,-0.104,0.003,-0.087,-0.042
DVU0016,-0.612,-0.383,-0.504,-0.443
DVU0017,-0.172,-0.213,-0.042,-0.015
DVU0018,-0.163,-0.07,-0.13,-0.047
DVU0019,-0.117,-0.015,-0.112,-0.072
DVU0020,-0.12,-0.068,-0.094,-0.034
DVU0021,-0.096,-0.041,-0.088,-0.003
DVU0022,-0.11,-0.001,-0.092,-0.01
DVU0023,-0.048,-0.001,-0.014,0.004
DVU0024,-0.118,-0.014,-0.133,-0.038
DVU0025,-0.1,-0.015,-0.062,0.007
DVU0026,-0.141,-0.044,-0.067,0.013
DVU0027,-0.098,-0.008,-0.079,0.011
DVU0028,-0.106,-0.071,-0.041,-0.031
DVU0029,-0.075,0.005,-0.029,0.022
DVU4013,-0.067,-0.045,-0.067,-0.087
DVU0030,-0.072,-0.017,-0.085,0
DVU0031,-0.054,0.02,-0.042,-0.009
DVU0032,-0.084,-0.011,-0.108,0.057
DVU0033,-0.134,-0.004,-0.101,-0.004
DVU0034,-0.151,-0.061,-0.116,-0.004
DVU0035,-0.085,0.001,-0.074,-0.018
DVU0036,-0.083,-0.004,-0.114,-0.013
DVU0037,-0.058,0.033,-0.071,0.032
DVU0038,-0.1,0.012,-0.089,0.022
DVU0039,-0.095,0.002,-0.099,-0.03
DVU0040,-0.145,0.008,-0.092,-0.004
DVU0041,-0.121,-0.011,-0.147,-0.005
DVU0042,-0.089,0.011,-0.059,0.055
DVU0043,-0.147,-0.025,-0.096,0.028
DVU0044,-0.101,-0.007,-0.067,0.05
DVU0045,-0.092,-0.024,-0.045,0.015
DVU0046,-0.086,0.017,-0.149,-0.024
DVU0047,-0.141,0.035,-0.154,-0.013
DVU0048,-0.134,0.008,-0.123,0.001
DVU0049,-0.089,-0.007,-0.1,0.025
DVU0050,-0.097,-0.019,-0.117,-0.017
DVU0051,-0.115,-0.037,-0.147,-0.038
DVU0052,-0.092,-0.031,-0.129,-0.008
DVU0053,-0.098,-0.022,-0.087,0.018
DVU0054,-0.089,-0.002,-0.047,-0.001
DVU0055,-0.138,-0.001,-0.108,-0.044
DVU0056,-0.221,-0.065,-0.188,-0.006
DVU0057,-0.091,-0.01,-0.037,0.009
DVU0058,-0.088,-0.003,-0.04,0.04
DVU0059,-0.096,-0.018,-0.055,-0.001
DVU0060,-0.084,-0.005,-0.068,0.028
DVU0061,-0.1,0.012,-0.075,0.013
DVU0062,-0.089,0.003,-0.065,0.024
DVU0063,-0.15,0.006,-0.157,0.006
DVU0064,-0.104,-0.057,-0.088,-0.016
DVU0065,-0.109,-0.01,-0.104,-0.007
DVU0066,-0.092,-0.07,-0.074,0.006
DVU0067,-0.106,-0.056,-0.138,0.018
DVU0068,-0.086,-0.026,-0.09,-0.014
DVU0069,-0.048,0.029,-0.1,0.022
DVU0070,-0.024,0.012,-0.06,-0.004
DVU0071,-0.113,-0.019,-0.03,-0.011
DVU0072,-0.131,-0.061,-0.114,-0.028
DVU0073,-0.074,0.027,-0.101,0.013
DVU0074,-0.083,0.023,-0.031,-0.008
DVU0075,-0.073,0.028,-0.041,0.03
DVU0076,-0.09,-0.032,-0.078,-0.016
DVU0077,-0.065,0.024,-0.047,0.046
DVU0078,-0.073,0.018,0.019,-0.001
DVU0079,-0.087,0.019,-0.004,0.037
DVU0080,-0.113,-0.007,-0.082,0.005
DVU0081,-0.113,-0.027,-0.112,-0.007
DVU0082,-0.095,-0.001,-0.099,0.013
DVU0083,-0.11,-0.029,-0.044,-0.034
DVU0084,-0.079,-0.013,-0.099,-0.024
DVU0085,-0.128,-0.053,-0.06,-0.02
DVU0086,-0.09,-0.053,-0.1,0.035
DVU0087,-0.136,-0.01,-0.094,-0.034
DVU0088,-0.1,-0.028,-0.039,0.009
DVU0089,-0.157,-0.03,-0.129,-0.052
DVU0090,-0.122,-0.018,-0.1,0.006
DVU0091,-0.126,-0.033,-0.128,-0.011
DVU0092,-0.105,-0.028,-0.092,-0.015
DVU0093,-0.091,-0.018,-0.103,0.002
DVU0094,-0.109,0.007,-0.083,0.022
DVU0095,-0.141,-0.017,-0.13,0.006
DVU0096,-0.133,-0.002,-0.093,0.007
DVU0097,-0.084,-0.01,-0.101,-0.004
DVU0098,-0.112,-0.049,-0.116,-0.063
DVU0099,-0.113,-0.014,-0.129,0.015
DVU0100,-0.091,0,-0.081,-0.016
DVU0101,-0.094,-0.005,-0.066,0.027
DVU0102,-0.116,0.032,-0.09,0.035
