,DACC_Twist.lag1,DACC_Twist.lag2,DACC_Tilt.lag1,DACC_Tilt.lag2,DACC_Twist.Tilt.lag.1,DACC_Twist.Tilt.lag.2,DACC_Tilt.Twist.lag.1,DACC_Tilt.Twist.lag.2
DVU0001,-0.343,0.013,-0.178,0.029,-0.254,0.016,-0.263,0.029
DVU0002,-0.302,-0.052,-0.185,-0.029,-0.234,-0.046,-0.254,-0.021
DVU0003,-0.345,-0.014,-0.196,0.021,-0.277,0.042,-0.254,-0.005
DVU0004,-0.367,-0.028,-0.204,-0.002,-0.287,0.007,-0.277,0
DVU0005,-0.335,0.035,-0.181,0.004,-0.275,0.033,-0.248,-0.001
DVU0006,-0.393,0.037,-0.212,0.023,-0.288,0.001,-0.331,0.084
DVU0007,-0.348,0.029,-0.185,0.008,-0.268,0.014,-0.277,0.037
DVU0008,-0.595,0.127,-0.381,0.115,-0.42,0.035,-0.535,0.168
DVU0009,-0.354,-0.037,-0.184,-0.035,-0.266,-0.012,-0.279,-0.023
DVU0010,-0.403,0.056,-0.224,0.035,-0.303,0.058,-0.334,0.07
DVU0011,-0.383,0.039,-0.199,0.021,-0.284,0.032,-0.297,0.04
DVU0012,-0.357,0.054,-0.186,0.011,-0.292,0.069,-0.263,0.028
DVU0013,-0.342,0.003,-0.197,0.014,-0.277,0.022,-0.265,0.029
DVU0014,-0.396,0.059,-0.194,-0.02,-0.328,0.033,-0.28,0.031
DVU0015,-0.39,0.044,-0.192,0.004,-0.322,0.043,-0.296,0.023
DVU0016,-0.464,0.21,-0.194,0.076,-0.382,0.103,-0.278,0.207
DVU0017,-0.391,0.051,-0.161,-0.045,-0.313,0.053,-0.283,0.022
DVU0018,-0.334,-0.04,-0.189,-0.019,-0.285,-0.025,-0.24,-0.005
DVU0019,-0.361,0.075,-0.192,0.016,-0.271,0.035,-0.299,0.059
DVU0020,-0.388,0.083,-0.169,0.046,-0.277,0.095,-0.305,0.07
DVU0021,-0.399,0.023,-0.193,-0.009,-0.307,0.034,-0.314,0
DVU0022,-0.361,0.005,-0.19,0.008,-0.272,0.022,-0.285,0.014
DVU0023,-0.374,-0.076,-0.159,0.014,-0.324,-0.002,-0.209,-0.001
DVU0024,-0.334,0.021,-0.187,-0.042,-0.326,0.116,-0.203,-0.069
DVU0025,-0.383,0.005,-0.188,-0.005,-0.264,0.008,-0.314,0.03
DVU0026,-0.491,0.082,-0.233,0.059,-0.392,0.122,-0.359,0.073
DVU0027,-0.353,-0.02,-0.196,-0.063,-0.256,-0.016,-0.295,-0.03
DVU0028,-0.354,0.021,-0.182,0.019,-0.313,0.059,-0.237,0.028
DVU0029,-0.407,0.005,-0.224,-0.019,-0.369,0.014,-0.281,-0.005
DVU4013,-0.393,0.048,-0.185,0.027,-0.328,0.082,-0.291,0.041
DVU0030,-0.384,-0.007,-0.193,-0.011,-0.292,-0.01,-0.302,0.009
DVU0031,-0.371,0.029,-0.163,0.001,-0.311,0.024,-0.252,0.006
DVU0032,-0.398,-0.015,-0.227,-0.035,-0.358,0.064,-0.276,-0.069
DVU0033,-0.396,-0.025,-0.188,-0.021,-0.344,-0.003,-0.268,-0.012
DVU0034,-0.319,-0.04,-0.173,-0.002,-0.234,-0.003,-0.241,-0.042
DVU0035,-0.293,-0.015,-0.176,-0.058,-0.256,-0.073,-0.292,0
DVU0036,-0.352,0.03,-0.194,-0.009,-0.266,0.019,-0.274,0.044
DVU0037,-0.369,-0.006,-0.177,-0.021,-0.259,-0.043,-0.294,0.029
DVU0038,-0.32,0.014,-0.162,0.015,-0.24,0.017,-0.272,0.012
DVU0039,-0.311,0.003,-0.17,-0.002,-0.244,-0.001,-0.238,0.041
DVU0040,-0.386,0.023,-0.176,0.038,-0.366,0.047,-0.251,0.03
DVU0041,-0.325,0.022,-0.18,-0.011,-0.25,-0.004,-0.288,0.019
DVU0042,-0.397,-0.001,-0.21,-0.006,-0.355,0.014,-0.268,-0.003
DVU0043,-0.356,-0.093,-0.188,-0.096,-0.232,-0.074,-0.262,-0.093
DVU0044,-0.369,-0.047,-0.172,-0.022,-0.245,-0.008,-0.276,-0.017
DVU0045,-0.352,-0.072,-0.189,-0.019,-0.279,-0.023,-0.268,-0.02
DVU0046,-0.227,-0.124,-0.148,-0.08,-0.207,-0.04,-0.15,-0.133
DVU0047,-0.26,-0.031,-0.164,-0.067,-0.217,-0.043,-0.187,-0.057
DVU0048,-0.365,0.015,-0.157,0.025,-0.268,0.034,-0.252,0.011
DVU0049,-0.348,-0.019,-0.182,-0.006,-0.276,0.021,-0.265,-0.032
DVU0050,-0.259,-0.06,-0.16,-0.009,-0.184,-0.048,-0.228,0.009
DVU0051,-0.394,0.085,-0.194,0.016,-0.315,0.045,-0.281,0.077
DVU0052,-0.278,-0.033,-0.162,-0.014,-0.187,-0.038,-0.217,0.012
DVU0053,-0.391,0.035,-0.205,0,-0.312,0.027,-0.297,0.037
DVU0054,-0.388,0.068,-0.208,0.032,-0.333,0.066,-0.288,0.043
DVU0055,-0.337,0.009,-0.187,-0.005,-0.301,0.035,-0.221,-0.014
DVU0056,-0.346,-0.048,-0.185,-0.027,-0.249,-0.047,-0.265,-0.022
DVU0057,-0.429,0.111,-0.216,0.057,-0.344,0.097,-0.328,0.081
DVU0058,-0.398,0.009,-0.22,0.009,-0.364,0.044,-0.255,0.006
DVU0059,-0.368,0.005,-0.2,0.003,-0.315,0.041,-0.249,-0.006
DVU0060,-0.312,-0.055,-0.179,-0.009,-0.209,-0.028,-0.272,-0.028
DVU0061,-0.372,-0.051,-0.218,-0.024,-0.276,-0.035,-0.308,-0.025
DVU0062,-0.317,-0.009,-0.198,-0.015,-0.266,-0.002,-0.258,-0.011
DVU0063,-0.349,0.047,-0.155,0.077,-0.246,0.101,-0.248,0.073
DVU0064,-0.346,-0.093,-0.211,-0.051,-0.31,-0.045,-0.264,-0.071
DVU0065,-0.411,0.026,-0.199,-0.008,-0.35,0.006,-0.324,0.023
DVU0066,-0.408,0.072,-0.203,0.031,-0.327,0.062,-0.294,0.049
DVU0067,-0.388,0.016,-0.175,0.016,-0.264,0.01,-0.335,0.025
DVU0068,-0.411,0.051,-0.206,0.021,-0.314,0.052,-0.31,0.032
DVU0069,-0.344,0.017,-0.19,0.003,-0.266,-0.001,-0.273,0.031
DVU0070,-0.388,0.017,-0.177,0.022,-0.276,0.022,-0.291,0.029
DVU0071,-0.332,-0.008,-0.183,-0.044,-0.308,0.012,-0.211,-0.026
DVU0072,-0.361,0.003,-0.206,-0.006,-0.294,0.015,-0.284,0.012
DVU0073,-0.376,0.027,-0.215,0.014,-0.316,0.051,-0.304,0.011
DVU0074,-0.39,0.037,-0.21,-0.009,-0.324,0.066,-0.307,-0.003
DVU0075,-0.365,-0.019,-0.213,-0.059,-0.257,-0.047,-0.321,-0.014
DVU0076,-0.341,0.003,-0.199,-0.004,-0.256,-0.002,-0.291,0.012
DVU0077,-0.384,0.008,-0.226,-0.028,-0.296,-0.01,-0.319,0.032
DVU0078,-0.42,0.001,-0.214,-0.033,-0.354,0.004,-0.308,0.025
DVU0079,-0.362,0.004,-0.189,-0.018,-0.301,0.012,-0.261,0.009
DVU0080,-0.361,-0.003,-0.197,0.005,-0.316,0.022,-0.258,0.001
DVU0081,-0.362,0.017,-0.186,0.013,-0.283,0.025,-0.283,0.025
DVU0082,-0.334,0.012,-0.168,-0.046,-0.264,-0.013,-0.266,-0.003
DVU0083,-0.423,0.129,-0.174,0.05,-0.348,0.092,-0.275,0.094
DVU0084,-0.422,-0.027,-0.237,-0.013,-0.329,0.005,-0.331,-0.005
DVU0085,-0.371,0.005,-0.185,-0.03,-0.267,-0.012,-0.284,0.014
DVU0086,-0.251,-0.029,-0.094,0.015,-0.167,-0.008,-0.205,0.007
DVU0087,-0.397,0.059,-0.169,0.031,-0.303,0.063,-0.278,0.046
DVU0088,-0.402,-0.035,-0.224,-0.014,-0.317,-0.02,-0.323,-0.008
DVU0089,-0.374,-0.025,-0.185,-0.016,-0.282,-0.008,-0.312,0.011
DVU0090,-0.366,0.054,-0.203,0.001,-0.305,0.008,-0.286,0.045
DVU0091,-0.299,-0.024,-0.205,0.004,-0.273,0.007,-0.247,0.006
DVU0092,-0.375,0.027,-0.185,0.01,-0.275,0.028,-0.291,0.025
DVU0093,-0.403,0.058,-0.206,0.009,-0.279,0.018,-0.35,0.069
DVU0094,-0.372,0.03,-0.215,0.023,-0.326,0.043,-0.264,0.04
DVU0095,-0.33,-0.061,-0.192,-0.033,-0.257,-0.036,-0.254,-0.053
DVU0096,-0.393,-0.018,-0.212,-0.025,-0.279,-0.013,-0.32,0.014
DVU0097,-0.365,0.001,-0.203,0.008,-0.284,0.033,-0.291,0.015
DVU0098,-0.361,-0.012,-0.198,0.006,-0.285,0.01,-0.257,-0.001
DVU0099,-0.378,0.005,-0.18,-0.043,-0.301,-0.003,-0.287,-0.029
DVU0100,-0.403,0.017,-0.201,0.006,-0.328,0.028,-0.302,0.005
DVU0101,-0.402,0.059,-0.205,0.025,-0.344,0.087,-0.278,0.034
DVU0102,-0.374,0.014,-0.202,0.026,-0.324,0.023,-0.273,0.031
DVU0103,-0.387,0.001,-0.203,-0.001,-0.345,0.059,-0.26,-0.019
DVU0104,-0.37,-0.021,-0.191,-0.05,-0.322,-0.016,-0.258,-0.027
DVU0105,-0.31,-0.048,-0.169,0.019,-0.219,-0.004,-0.239,-0.01
DVU0106,-0.316,-0.032,-0.208,-0.021,-0.211,-0.043,-0.324,0.01
DVU0107,-0.307,-0.098,-0.196,-0.032,-0.248,-0.056,-0.265,-0.058
DVU0108,-0.427,0.204,-0.224,0.22,-0.42,0.207,-0.288,0.227
DVU0109,-0.326,-0.022,-0.185,-0.018,-0.253,0.005,-0.237,-0.011
DVU0110,-0.354,-0.005,-0.19,-0.012,-0.282,0.007,-0.267,-0.005
DVU0111,-0.368,-0.048,-0.209,-0.009,-0.287,0.005,-0.259,-0.023
DVU0112,-0.39,0.037,-0.201,0.026,-0.333,0.06,-0.286,0.025
DVU0113,-0.334,0.017,-0.182,-0.05,-0.275,0.022,-0.244,-0.029
DVU0114,-0.331,-0.047,-0.192,-0.043,-0.251,-0.034,-0.26,-0.042
DVU0115,-0.421,0.089,-0.181,0.054,-0.335,0.077,-0.298,0.111
DVU0116,-0.384,-0.011,-0.21,-0.001,-0.337,0.026,-0.285,-0.006
DVU0117,-0.366,0.002,-0.206,-0.005,-0.313,0,-0.288,0.027
DVU0118,-0.328,0.003,-0.176,0.005,-0.262,0.009,-0.251,0.004
DVU0119,-0.377,0.023,-0.204,0.002,-0.281,0.012,-0.314,0.02
DVU0120,-0.359,-0.003,-0.189,-0.024,-0.274,-0.015,-0.293,0.022
DVU0121,-0.332,0.02,-0.191,-0.001,-0.258,0.013,-0.262,0.033
DVU0122,-0.234,-0.156,-0.14,-0.089,-0.058,-0.17,-0.262,0.016
DVU0123,-0.326,-0.036,-0.195,-0.06,-0.234,-0.032,-0.28,-0.047
DVU0124,-0.473,0.13,-0.176,0.015,-0.327,0.102,-0.305,0.061
DVU0125,-0.363,0.055,-0.195,0.036,-0.328,0.063,-0.236,0.049
DVU0126,-0.379,0.009,-0.181,0.008,-0.315,0.036,-0.257,0.006
DVU0127,-0.375,-0.016,-0.199,-0.006,-0.327,0.048,-0.238,-0.022
DVU0128,-0.365,-0.001,-0.207,-0.018,-0.31,0.018,-0.273,-0.003
DVU0129,-0.387,-0.007,-0.22,-0.006,-0.333,0.002,-0.277,0.012
DVU0130,-0.359,0.077,-0.164,-0.003,-0.293,0.066,-0.268,0.04
DVU0131,-0.511,0.186,-0.26,0.09,-0.404,0.189,-0.433,0.114
DVU0132,-0.398,-0.008,-0.238,-0.039,-0.311,-0.012,-0.329,-0.01
DVU0133,-0.319,-0.064,-0.192,0.004,-0.271,0.017,-0.221,-0.052
DVU0134,-0.376,0.062,-0.193,0.029,-0.309,0.057,-0.279,0.062
DVU0135,-0.335,-0.033,-0.157,-0.028,-0.224,-0.031,-0.255,0.002
DVU0136,-0.322,-0.056,-0.207,-0.046,-0.245,-0.041,-0.296,-0.044
DVU0137,-0.35,-0.086,-0.269,-0.123,-0.323,-0.093,-0.272,-0.097
DVU0138,-0.357,-0.022,-0.192,0.002,-0.279,0.029,-0.238,-0.005
DVU0139,-0.381,-0.018,-0.215,-0.028,-0.29,-0.017,-0.306,-0.002
DVU0140,-0.354,0.014,-0.19,0.015,-0.367,0.078,-0.173,-0.027
DVU0141,-0.396,-0.027,-0.185,-0.017,-0.282,0.014,-0.287,-0.019
DVU0142,-0.286,-0.018,-0.171,-0.017,-0.206,-0.008,-0.246,-0.008
DVU0143,-0.385,0.017,-0.186,-0.015,-0.302,0.019,-0.281,0.013
DVU0144,-0.395,-0.008,-0.18,-0.008,-0.274,0.005,-0.298,0.004
DVU0145,-0.352,-0.042,-0.185,-0.078,-0.323,-0.052,-0.229,-0.033
DVU0146,-0.386,0.012,-0.226,0.019,-0.338,0.086,-0.271,-0.004
DVU0147,-0.418,0.141,-0.162,0.118,-0.304,0.147,-0.318,0.116
DVU0148,-0.333,-0.071,-0.194,-0.024,-0.258,-0.036,-0.275,-0.065
DVU0149,-0.374,-0.015,-0.232,-0.002,-0.295,-0.007,-0.321,0.017
DVU0150,-0.349,-0.143,-0.231,-0.081,-0.293,-0.061,-0.262,-0.127
DVU0151,-0.343,-0.006,-0.168,-0.022,-0.267,-0.004,-0.263,-0.007
DVU0152,-0.388,-0.003,-0.217,-0.014,-0.314,-0.008,-0.307,0.013
DVU0153,-0.436,0.123,-0.187,0.074,-0.349,0.128,-0.275,0.087
DVU0154,-0.393,0.028,-0.187,0.05,-0.299,0.042,-0.304,0.073
DVU0155,-0.364,0.028,-0.191,0.011,-0.3,0.058,-0.256,-0.023
DVU0156,-0.348,0.009,-0.2,-0.017,-0.279,0.002,-0.285,0.001
DVU0157,-0.384,0.04,-0.192,0.007,-0.328,0.055,-0.257,-0.001
DVU0158,-0.386,0.057,-0.172,0,-0.3,0.049,-0.27,0.007
DVU0159,-0.468,0.108,-0.25,0.069,-0.364,0.088,-0.368,0.103
DVU0160,-0.381,-0.033,-0.222,-0.002,-0.301,0.012,-0.31,0.007
DVU0161,-0.329,0.034,-0.194,0.029,-0.26,0.034,-0.287,0.051
DVU0162,-0.338,-0.016,-0.2,-0.012,-0.249,0.001,-0.286,-0.005
DVU0163,-0.426,0,-0.213,-0.041,-0.367,0.002,-0.299,-0.032
DVU0164,-0.433,0.05,-0.218,0.023,-0.342,0.04,-0.327,0.072
DVU0165,-0.365,0,-0.2,-0.016,-0.231,0.009,-0.314,0.005
DVU0166,-0.337,-0.034,-0.203,-0.016,-0.231,-0.025,-0.279,0.008
DVU0167,-0.342,-0.016,-0.2,0.026,-0.274,0.034,-0.278,0.01
DVU0168,-0.38,-0.006,-0.195,-0.04,-0.244,-0.023,-0.315,-0.002
DVU0169,-0.315,-0.099,-0.188,-0.036,-0.224,-0.064,-0.284,-0.049
DVU0170,-0.351,0.034,-0.192,0.003,-0.306,0.023,-0.238,0.04
DVU0171,-0.385,0.049,-0.215,0.008,-0.313,0.039,-0.3,0.057
DVU0172,-0.368,0.008,-0.181,-0.008,-0.258,-0.015,-0.287,0.022
DVU0173,-0.375,0.007,-0.2,0.016,-0.285,0.021,-0.306,0.018
DVU0174,-0.585,0.301,-0.235,0.255,-0.433,0.264,-0.406,0.301
DVU0175,-0.378,0.05,-0.176,0.041,-0.28,0.06,-0.281,0.051
DVU0176,-0.388,0.012,-0.192,0.02,-0.309,0.041,-0.273,0.031
DVU0177,-0.324,-0.037,-0.208,-0.007,-0.223,-0.028,-0.303,-0.001
DVU0179,-0.365,0.023,-0.179,0.001,-0.314,0.038,-0.233,0.001
DVU0180,-0.353,0.007,-0.182,-0.021,-0.309,0.02,-0.245,-0.005
DVU0181,-0.341,-0.015,-0.175,-0.02,-0.283,-0.003,-0.241,-0.015
DVU0182,-0.35,-0.03,-0.18,-0.038,-0.257,-0.042,-0.268,-0.014
DVU0183,-0.343,0.023,-0.213,0.024,-0.252,0.015,-0.298,0.059
DVU0184,-0.459,0.085,-0.244,0.004,-0.427,0.084,-0.297,0.033
DVU0186,-0.342,-0.026,-0.187,0.018,-0.27,0.017,-0.267,0.005
DVU0187,-0.342,-0.052,-0.191,-0.03,-0.271,-0.025,-0.258,-0.03
DVU0188,-0.331,0.069,-0.15,0.026,-0.275,0.106,-0.16,0.006
DVU0189,-0.34,-0.029,-0.193,-0.019,-0.283,-0.012,-0.254,-0.018
DVU0190,-0.381,0.057,-0.23,0.082,-0.324,0.095,-0.303,0.085
DVU0191,-0.338,0,-0.19,-0.016,-0.278,0.011,-0.278,-0.011
DVU0192,-0.373,-0.001,-0.216,-0.001,-0.349,0.041,-0.261,-0.016
DVU0193,-0.326,0.03,-0.168,0.011,-0.274,0.039,-0.195,0.014
DVU0194,-0.347,0.028,-0.199,-0.001,-0.286,0.02,-0.282,0.018
DVU0195,-0.378,0.114,-0.161,0.037,-0.299,0.039,-0.263,0.092
DVU0196,-0.383,0.051,-0.212,-0.005,-0.286,0.021,-0.339,0.048
DVU0197,-0.329,-0.021,-0.18,-0.036,-0.249,-0.013,-0.279,-0.027
DVU0198,-0.317,-0.028,-0.195,0.006,-0.258,0.008,-0.27,-0.007
DVU0199,-0.374,-0.02,-0.232,-0.013,-0.245,0.012,-0.359,0.002
DVU0200,-0.279,0.002,-0.173,0.023,-0.214,0.022,-0.234,0.011
DVU0201,-0.302,-0.07,-0.164,-0.017,-0.288,-0.023,-0.207,-0.074
DVU0202,-0.346,0.052,-0.209,-0.014,-0.284,0.045,-0.286,0.032
DVU0203,-0.328,0.041,-0.218,0.04,-0.273,0.077,-0.281,0.033
DVU0204,-0.389,0.034,-0.198,0.042,-0.331,0.065,-0.295,0.016
DVU0205,-0.39,-0.056,-0.226,0.016,-0.309,-0.018,-0.276,0.017
DVU0206,-0.35,0.046,-0.169,0.02,-0.271,0.059,-0.251,0.049
