C3s,A3s,G3s,CAI,CBI,Fop,Nc,GC3s,GC,L_sym,L_aa,Gravy,Aromo,X
DVU0001,0.5874,0.1494,0.3481,0.272,0.233,0.547,40.36,0.759,0.626,428,437,-0.304577,0.075515,NA
DVU0002,0.6414,0.1424,0.3472,0.325,0.285,0.584,36.43,0.776,0.596,370,384,-0.223958,0.088542,NA
DVU0003,0.6568,0.0915,0.4021,0.347,0.323,0.609,34.09,0.843,0.631,775,798,-0.42406,0.077694,NA
DVU0004,0.6028,0.0848,0.4481,0.319,0.316,0.597,34.52,0.842,0.63,833,856,-0.328972,0.053738,NA
DVU0005,0.493,0.1509,0.3932,0.223,0.166,0.494,42.89,0.739,0.648,253,261,-0.271648,0.057471,NA
DVU0006,0.4733,0.192,0.3504,0.254,0.175,0.513,47.34,0.687,0.626,150,154,-0.074676,0.019481,NA
DVU0007,0.6561,0.1293,0.3333,0.293,0.219,0.545,36.34,0.798,0.623,446,461,-0.238395,0.101952,NA
DVU0008,0.2778,0.3571,0.2609,0.135,-0.177,0.297,57,0.432,0.431,37,41,0.253659,0.02439,NA
DVU0009,0.5677,0.0952,0.3221,0.218,0.151,0.474,38.95,0.81,0.667,399,426,1.249296,0.061033,NA
DVU0010,0.4438,0.1879,0.3472,0.222,0.134,0.472,47.83,0.702,0.654,178,188,0.400532,0.06383,NA
DVU0011,0.5442,0.1407,0.381,0.244,0.16,0.498,43.06,0.769,0.63,325,341,-0.048094,0.070381,NA
DVU0012,0.3969,0.1532,0.4277,0.284,0.202,0.532,46.72,0.691,0.647,385,400,-0.30475,0.055,NA
DVU0013,0.5434,0.1116,0.3969,0.256,0.183,0.516,39.42,0.781,0.642,576,602,-0.155648,0.063123,NA
DVU0014,0.5741,0.1091,0.38,0.313,0.235,0.544,35,0.735,0.569,68,72,-0.366667,0.069444,NA
DVU0015,0.5354,0.0947,0.3989,0.289,0.323,0.587,38.42,0.793,0.625,242,263,0.445627,0.163498,NA
DVU0016,0.4643,0.2917,0.2917,0.278,0.081,0.485,54.64,0.606,0.569,33,34,-0.385294,0.029412,NA
DVU0017,0.3721,0.2857,0.2821,0.154,0.109,0.48,49.83,0.54,0.54,50,58,-0.362069,0.068966,NA
DVU0018,0.3862,0.1558,0.4388,0.248,0.066,0.46,50.51,0.662,0.584,718,749,-0.150467,0.053405,NA
DVU0019,0.6049,0.1611,0.3841,0.299,0.076,0.485,43.67,0.763,0.591,198,202,-0.264356,0.09901,NA
DVU0020,0.4419,0.2821,0.1892,0.239,0.135,0.478,46.45,0.565,0.646,46,48,0.15,0.020833,NA
DVU0021,0.5619,0.1481,0.3803,0.297,0.305,0.592,38.22,0.772,0.621,333,348,-0.307184,0.12931,NA
