PseDNC_Xc1.AA,PseDNC_Xc1.AC,PseDNC_Xc1.AG,PseDNC_Xc1.AT,PseDNC_Xc1.CA,PseDNC_Xc1.CC,PseDNC_Xc1.CG,PseDNC_Xc1.CT,PseDNC_Xc1.GA,PseDNC_Xc1.GC,PseDNC_Xc1.GG,PseDNC_Xc1.GT,PseDNC_Xc1.TA,PseDNC_Xc1.TC,PseDNC_Xc1.TG,PseDNC_Xc1.TT,PseDNC_Xc2.lambda.1,PseDNC_Xc2.lambda.2,PseDNC_Xc2.lambda.3
DVU0001,0.035,0.065,0.035,0.023,0.069,0.08,0.083,0.056,0.045,0.087,0.053,0.036,0.01,0.057,0.048,0.031,0.076,0.056,0.056
DVU0002,0.041,0.048,0.05,0.04,0.057,0.066,0.081,0.05,0.062,0.073,0.055,0.038,0.019,0.067,0.042,0.02,0.076,0.06,0.055
DVU0003,0.037,0.06,0.045,0.028,0.062,0.061,0.096,0.041,0.059,0.087,0.067,0.037,0.012,0.052,0.042,0.022,0.078,0.058,0.057
DVU0004,0.035,0.058,0.041,0.034,0.063,0.062,0.095,0.037,0.057,0.083,0.065,0.044,0.012,0.055,0.048,0.016,0.08,0.059,0.056
DVU0005,0.031,0.055,0.039,0.022,0.046,0.064,0.092,0.057,0.057,0.089,0.083,0.037,0.012,0.051,0.053,0.025,0.075,0.055,0.057
DVU0006,0.035,0.064,0.035,0.035,0.059,0.061,0.095,0.038,0.059,0.081,0.069,0.04,0.016,0.047,0.05,0.021,0.082,0.059,0.056
DVU0007,0.034,0.058,0.037,0.034,0.057,0.078,0.094,0.048,0.058,0.083,0.054,0.032,0.014,0.058,0.042,0.028,0.077,0.057,0.059
DVU0008,0.042,0.054,0.03,0.103,0.085,0.036,0.036,0.018,0.042,0.048,0.018,0.036,0.06,0.036,0.066,0.042,0.106,0.066,0.073
DVU0009,0.008,0.029,0.018,0.04,0.051,0.091,0.087,0.065,0.029,0.099,0.075,0.044,0.006,0.075,0.067,0.027,0.077,0.06,0.053
DVU0010,0.01,0.051,0.024,0.031,0.071,0.074,0.078,0.055,0.028,0.102,0.078,0.038,0.007,0.051,0.067,0.037,0.08,0.056,0.059
DVU0011,0.026,0.06,0.038,0.03,0.07,0.074,0.08,0.054,0.046,0.085,0.061,0.038,0.011,0.059,0.051,0.024,0.078,0.057,0.058
DVU0012,0.026,0.044,0.051,0.024,0.053,0.069,0.088,0.044,0.055,0.099,0.069,0.046,0.011,0.042,0.06,0.027,0.077,0.056,0.056
DVU0013,0.029,0.042,0.043,0.033,0.053,0.061,0.095,0.042,0.052,0.092,0.075,0.046,0.012,0.056,0.053,0.021,0.078,0.057,0.058
DVU0014,0.048,0.044,0.055,0.04,0.062,0.07,0.059,0.033,0.051,0.07,0.051,0.055,0.022,0.04,0.066,0.033,0.08,0.059,0.061
DVU0015,0.016,0.04,0.016,0.036,0.049,0.068,0.073,0.061,0.027,0.081,0.092,0.051,0.015,0.062,0.07,0.047,0.078,0.059,0.058
DVU0016,0.093,0.039,0.039,0.031,0.062,0.023,0.054,0.054,0.039,0.108,0.07,0.046,0.008,0.023,0.101,0.015,0.081,0.052,0.063
DVU0017,0.046,0.055,0.041,0.06,0.055,0.064,0.046,0.037,0.078,0.046,0.082,0.027,0.023,0.037,0.064,0.046,0.076,0.061,0.056
DVU0018,0.037,0.037,0.059,0.044,0.059,0.035,0.069,0.04,0.062,0.078,0.082,0.045,0.019,0.053,0.058,0.029,0.078,0.061,0.056
DVU0019,0.044,0.057,0.061,0.037,0.076,0.073,0.063,0.044,0.064,0.075,0.056,0.028,0.016,0.051,0.043,0.023,0.076,0.057,0.057
DVU0020,0.022,0.055,0.027,0.038,0.06,0.099,0.088,0.038,0.049,0.088,0.049,0.044,0.011,0.044,0.066,0.022,0.081,0.055,0.061
