TACC_Dnase I.lag1,TACC_Dnase I.lag2,TACC_Nucleosome.lag1,TACC_Nucleosome.lag2,TACC_Dnase I.Nucleosome.lag.1,TACC_Dnase I.Nucleosome.lag.2,TACC_Nucleosome.Dnase I.lag.1,TACC_Nucleosome.Dnase I.lag.2
DVU0001,0.089,0.053,0.306,0.066,-0.168,-0.076,-0.184,-0.066
DVU0002,0.034,0.01,0.264,0.052,-0.174,-0.056,-0.107,0.009
DVU0003,0.018,0.016,0.228,0,-0.115,-0.005,-0.102,-0.016
DVU0004,0.047,0.016,0.237,0.04,-0.138,-0.031,-0.13,-0.037
DVU0005,0.025,0.03,0.32,0.031,-0.145,-0.047,-0.115,-0.029
DVU0006,0.03,0.032,0.248,0.039,-0.118,-0.056,-0.138,-0.067
DVU0007,0.043,0.035,0.277,0.072,-0.155,-0.055,-0.144,-0.047
DVU0008,0.053,-0.128,0.448,0.09,-0.152,-0.019,-0.2,-0.168
DVU0009,-0.032,-0.033,0.149,-0.036,-0.063,0.038,-0.016,0.029
DVU0010,0.005,-0.058,0.255,0.018,-0.071,0.034,-0.107,0.019
DVU0011,0.004,0.049,0.25,0.011,-0.111,-0.025,-0.107,-0.019
DVU0012,0.026,0.012,0.258,0.027,-0.097,-0.023,-0.077,0.003
DVU0013,0.012,0.004,0.249,0.037,-0.126,-0.042,-0.098,-0.003
DVU0014,-0.007,0.107,0.28,-0.03,-0.151,-0.022,-0.118,-0.12
DVU0015,0.025,-0.021,0.332,0.089,-0.104,0.003,-0.087,-0.042
DVU0016,0.389,0.419,0.727,0.386,-0.612,-0.383,-0.504,-0.443
DVU0017,-0.071,0.033,0.326,0.062,-0.172,-0.213,-0.042,-0.015
DVU0018,0.042,0.082,0.346,0.051,-0.163,-0.07,-0.13,-0.047
DVU0019,0.024,0.039,0.241,-0.027,-0.117,-0.015,-0.112,-0.072
DVU0020,0.077,0.076,0.146,0.033,-0.12,-0.068,-0.094,-0.034
DVU0021,-0.007,0.002,0.24,0.015,-0.096,-0.041,-0.088,-0.003
DVU0022,-0.003,0.012,0.265,0.029,-0.11,-0.001,-0.092,-0.01
DVU0023,-0.046,0.015,0.224,0.025,-0.048,-0.001,-0.014,0.004
DVU0024,0.023,0.008,0.261,0.034,-0.118,-0.014,-0.133,-0.038
DVU0025,-0.008,-0.003,0.206,0.001,-0.1,-0.015,-0.062,0.007
DVU0026,-0.015,0.03,0.204,-0.02,-0.141,-0.044,-0.067,0.013
DVU0027,-0.005,0.002,0.191,0.023,-0.098,-0.008,-0.079,0.011
DVU0028,-0.061,0.035,0.287,0.063,-0.106,-0.071,-0.041,-0.031
DVU0029,-0.024,-0.018,0.196,-0.024,-0.075,0.005,-0.029,0.022
DVU4013,0.04,0.015,0.295,0.033,-0.067,-0.045,-0.067,-0.087
