kmer_3_AAA,kmer_3_AAC,kmer_3_AAG,kmer_3_AAT,kmer_3_ACA,kmer_3_ACC,kmer_3_ACG,kmer_3_ACT,kmer_3_AGA,kmer_3_AGC,kmer_3_AGG,kmer_3_AGT,kmer_3_ATA,kmer_3_ATC,kmer_3_ATG,kmer_3_ATT,kmer_3_CAA,kmer_3_CAC,kmer_3_CAG,kmer_3_CAT,kmer_3_CCA,kmer_3_CCC,kmer_3_CCG,kmer_3_CCT,kmer_3_CGA,kmer_3_CGC,kmer_3_CGG,kmer_3_CGT,kmer_3_CTA,kmer_3_CTC,kmer_3_CTG,kmer_3_CTT,kmer_3_GAA,kmer_3_GAC,kmer_3_GAG,kmer_3_GAT,kmer_3_GCA,kmer_3_GCC,kmer_3_GCG,kmer_3_GCT,kmer_3_GGA,kmer_3_GGC,kmer_3_GGG,kmer_3_GGT,kmer_3_GTA,kmer_3_GTC,kmer_3_GTG,kmer_3_GTT,kmer_3_TAA,kmer_3_TAC,kmer_3_TAG,kmer_3_TAT,kmer_3_TCA,kmer_3_TCC,kmer_3_TCG,kmer_3_TCT,kmer_3_TGA,kmer_3_TGC,kmer_3_TGG,kmer_3_TGT,kmer_3_TTA,kmer_3_TTC,kmer_3_TTG,kmer_3_TTT
DVU0001,14,30,9,4,26,29,32,18,11,19,19,7,3,17,13,4,22,36,31,22,25,38,32,34,35,48,30,22,6,28,31,26,19,30,15,7,39,43,40,18,14,36,18,18,5,19,21,13,2,9,1,4,21,19,31,21,12,37,19,10,2,28,13,7
DVU0002,5,14,30,9,15,27,15,12,18,20,23,10,7,26,20,4,17,11,25,29,22,11,35,26,42,26,26,21,9,27,19,16,35,30,15,8,23,36,29,16,14,28,17,20,10,20,17,7,2,14,1,10,22,20,36,17,14,30,13,3,1,22,4,2
DVU0003,4,48,52,7,39,59,65,16,31,36,50,15,7,41,31,5,59,39,35,52,42,39,65,34,77,92,69,47,14,39,38,30,46,71,43,14,66,50,93,48,35,83,44,36,14,27,48,21,2,21,3,10,38,32,62,23,31,46,35,12,1,48,7,8
DVU0004,8,41,51,11,37,60,64,24,32,26,52,19,13,54,35,6,44,54,36,68,50,44,60,44,87,99,70,49,10,38,49,21,57,65,38,22,73,60,99,33,33,80,45,50,16,47,62,16,2,25,5,7,42,34,82,17,30,60,41,22,0,36,7,7
DVU0005,3,13,8,6,11,14,19,9,9,6,19,3,2,7,10,2,9,15,12,8,11,11,22,18,24,31,19,15,6,19,18,12,18,16,15,6,11,25,33,17,15,33,22,10,4,12,14,6,0,9,3,0,11,12,15,11,7,16,20,8,0,11,9,4
DVU0006,2,10,7,1,6,15,12,4,10,2,5,3,4,7,6,3,5,10,7,12,9,8,11,7,10,17,17,11,2,7,8,5,13,13,4,3,13,8,19,7,9,18,10,3,3,7,9,4,0,4,2,3,6,4,13,4,5,10,8,6,0,6,6,0
DVU0007,4,25,19,10,22,30,37,10,22,16,18,7,4,22,20,12,19,27,23,28,22,31,48,32,43,61,32,25,11,25,23,24,35,31,21,12,37,51,31,23,18,34,24,16,9,16,21,9,0,16,1,7,16,21,45,18,16,31,18,7,0,37,8,3
DVU0008,1,5,1,0,5,3,1,0,0,1,2,1,4,3,6,4,1,4,2,7,2,1,2,1,3,2,0,1,1,0,1,1,2,0,1,4,3,2,2,1,1,2,0,0,1,3,2,0,3,0,1,6,4,0,1,1,3,3,1,4,4,0,2,1
DVU0009,1,9,3,0,7,19,13,6,4,15,9,0,2,29,28,4,5,16,14,46,18,42,49,34,14,52,40,31,2,36,38,27,7,14,10,13,27,57,32,41,15,46,32,26,5,23,34,7,0,6,1,3,29,25,43,22,12,44,38,12,1,31,6,4
DVU0010,2,2,1,2,7,9,14,6,5,2,8,2,2,7,10,3,3,19,11,17,11,15,16,10,4,21,20,10,1,7,16,15,2,11,4,2,21,19,18,14,9,29,8,9,2,11,10,4,0,4,1,0,11,9,7,9,2,20,19,6,0,11,11,4
DVU0011,1,12,11,9,23,23,19,11,13,15,18,2,2,14,18,4,18,28,24,19,17,19,34,24,20,42,22,18,5,27,22,14,14,25,12,7,33,37,19,19,15,26,19,18,7,13,21,7,0,11,1,2,16,15,30,14,11,25,19,10,0,21,4,5
DVU0012,0,16,18,5,9,19,28,9,18,21,27,9,2,10,18,6,13,12,35,19,14,29,40,20,25,47,33,26,6,16,28,15,26,28,20,7,42,37,45,23,22,43,19,19,8,16,35,9,0,9,3,5,14,18,18,13,16,36,24,13,1,21,8,10
DVU0013,7,24,30,5,19,32,33,11,18,25,38,14,6,29,34,5,23,25,27,44,37,24,55,21,53,78,42,40,8,32,31,24,35,34,35,13,39,58,75,35,26,57,47,38,13,34,45,11,1,12,4,11,24,23,50,28,20,47,41,11,1,30,9,6
DVU0014,1,3,9,0,3,3,5,1,3,3,5,3,0,3,6,2,6,3,3,5,4,5,5,5,3,5,4,4,3,1,4,1,6,4,2,2,7,7,3,2,3,4,2,5,3,3,5,4,0,2,1,3,3,4,3,1,5,7,3,3,0,4,3,2
DVU0015,1,7,5,3,5,13,16,5,3,5,6,2,3,11,15,6,10,11,7,20,9,17,21,20,6,25,28,13,5,15,26,14,5,14,3,4,19,22,16,23,12,34,28,16,6,12,19,13,0,7,1,7,15,15,19,12,6,16,28,19,1,23,9,13
DVU0016,8,2,1,1,2,1,2,0,1,3,1,0,0,0,4,0,1,2,3,2,1,0,0,2,1,4,1,1,1,2,3,1,3,0,1,0,3,2,4,5,0,3,4,2,0,1,4,1,0,1,0,0,2,0,1,0,3,4,3,3,0,0,2,0
DVU0017,3,3,4,0,3,4,3,2,3,2,4,0,3,1,7,2,1,3,3,5,2,4,4,4,1,1,5,3,0,1,3,4,6,3,1,6,4,3,1,2,7,5,4,2,1,1,2,2,0,3,1,1,3,3,2,0,6,2,5,1,1,5,2,2
DVU0018,16,28,41,19,27,17,38,21,33,47,68,16,14,37,49,24,31,24,69,41,31,19,27,20,46,48,64,34,15,37,44,15,53,35,47,39,59,46,69,44,54,75,47,54,17,45,42,21,4,16,8,24,48,15,58,26,41,48,51,21,6,28,26,21
DVU0019,2,10,17,4,15,11,13,4,16,13,12,5,2,12,12,2,14,14,15,14,18,10,17,10,14,15,13,5,6,9,9,9,17,13,14,3,13,23,9,11,11,17,9,5,4,7,6,4,0,6,0,6,11,11,8,8,7,11,8,6,0,10,5,2
DVU0020,0,4,0,0,1,5,4,0,2,0,1,2,0,2,5,0,2,3,2,4,2,7,5,4,2,6,5,3,0,0,4,3,2,2,3,1,6,3,5,2,3,3,2,1,2,4,1,1,0,1,0,1,2,3,2,1,2,7,1,2,0,2,2,0
DVU0021,3,17,11,3,23,27,22,8,6,14,14,3,8,14,22,2,8,22,17,22,18,32,32,25,40,42,18,20,10,12,24,25,22,28,8,12,17,36,32,26,12,24,11,9,6,13,18,7,1,13,1,9,11,12,34,12,13,31,13,11,0,30,4,5
DVU0022,8,29,26,10,33,47,56,19,24,29,36,16,12,38,38,13,38,57,42,59,54,62,55,55,61,93,59,50,7,51,50,35,27,54,29,23,63,85,82,40,26,84,47,29,13,43,42,10,0,15,9,8,46,32,70,29,22,64,44,13,0,45,13,11
DVU0023,1,1,6,1,4,1,3,2,2,1,5,2,0,6,8,1,5,1,1,7,1,2,1,3,3,4,3,4,0,1,3,3,2,7,2,4,4,1,5,1,7,1,8,6,4,4,3,4,1,1,1,2,5,3,5,1,4,5,6,3,1,3,4,2
DVU0024,3,2,10,0,1,1,3,1,2,1,7,2,0,2,5,0,6,1,2,1,3,4,4,0,3,3,5,4,1,4,0,1,6,2,0,4,5,3,5,2,5,7,2,5,2,3,7,1,0,1,1,1,1,3,3,3,2,4,5,2,0,1,1,0
DVU0025,4,27,18,4,32,47,61,25,25,31,27,12,4,41,39,7,17,64,50,59,55,65,61,45,58,79,54,43,11,44,44,29,31,65,26,17,65,79,55,32,34,65,43,15,6,35,34,12,2,9,1,10,38,35,57,26,22,56,33,17,1,36,11,8
DVU0026,0,6,2,1,5,11,18,4,3,6,7,3,3,6,7,4,1,13,10,12,5,13,14,12,12,17,19,18,4,8,11,5,8,12,5,5,19,11,21,11,7,23,15,12,4,5,26,10,0,7,2,2,7,9,13,1,9,16,16,12,0,11,9,3
