,CTDC_hydrophobicity.Group1,CTDC_hydrophobicity.Group2,CTDC_hydrophobicity.Group3,CTDC_normwaalsvolume.Group1,CTDC_normwaalsvolume.Group2,CTDC_normwaalsvolume.Group3,CTDC_polarity.Group1,CTDC_polarity.Group2,CTDC_polarity.Group3,CTDC_polarizability.Group1,CTDC_polarizability.Group2,CTDC_polarizability.Group3,CTDC_charge.Group1,CTDC_charge.Group2,CTDC_charge.Group3,CTDC_secondarystruct.Group1,CTDC_secondarystruct.Group2,CTDC_secondarystruct.Group3,CTDC_solventaccess.Group1,CTDC_solventaccess.Group2,CTDC_solventaccess.Group3
DVU0001,0.331807780320366,0.361556064073227,0.306636155606407,0.384439359267735,0.345537757437071,0.270022883295195,0.327231121281465,0.295194508009153,0.377574370709382,0.322654462242563,0.407322654462243,0.270022883295195,0.130434782608696,0.74141876430206,0.128146453089245,0.558352402745995,0.217391304347826,0.224256292906178,0.45766590389016,0.331807780320366,0.210526315789474
DVU0002,0.3359375,0.346354166666667,0.317708333333333,0.377604166666667,0.395833333333333,0.2265625,0.356770833333333,0.294270833333333,0.348958333333333,0.328125,0.4453125,0.2265625,0.0989583333333333,0.7421875,0.158854166666667,0.455729166666667,0.263020833333333,0.28125,0.4609375,0.3359375,0.203125
DVU0003,0.350877192982456,0.362155388471178,0.286967418546366,0.385964912280702,0.363408521303258,0.25062656641604,0.31453634085213,0.31453634085213,0.370927318295739,0.352130325814536,0.397243107769424,0.25062656641604,0.130325814536341,0.719298245614035,0.150375939849624,0.449874686716792,0.266917293233083,0.283208020050125,0.441102756892231,0.350877192982456,0.208020050125313
DVU0004,0.348130841121495,0.349299065420561,0.302570093457944,0.377336448598131,0.378504672897196,0.244158878504673,0.329439252336449,0.297897196261682,0.372663551401869,0.338785046728972,0.417056074766355,0.244158878504673,0.139018691588785,0.713785046728972,0.147196261682243,0.463785046728972,0.264018691588785,0.272196261682243,0.433411214953271,0.348130841121495,0.218457943925234
DVU0005,0.363984674329502,0.318007662835249,0.318007662835249,0.35632183908046,0.417624521072797,0.226053639846743,0.337164750957854,0.28735632183908,0.375478927203065,0.310344827586207,0.46360153256705,0.226053639846743,0.14176245210728,0.689655172413793,0.168582375478927,0.590038314176245,0.206896551724138,0.203065134099617,0.486590038314176,0.363984674329502,0.149425287356322
DVU0006,0.272727272727273,0.435064935064935,0.292207792207792,0.480519480519481,0.357142857142857,0.162337662337662,0.311688311688312,0.38961038961039,0.298701298701299,0.376623376623377,0.461038961038961,0.162337662337662,0.0909090909090909,0.792207792207792,0.116883116883117,0.448051948051948,0.279220779220779,0.272727272727273,0.474025974025974,0.272727272727273,0.253246753246753
DVU0007,0.321041214750542,0.366594360086768,0.31236442516269,0.383947939262473,0.362255965292842,0.253796095444685,0.344902386117137,0.316702819956616,0.338394793926247,0.327548806941432,0.418655097613883,0.253796095444685,0.112798264642082,0.741865509761388,0.145336225596529,0.459869848156182,0.290672451193059,0.249457700650759,0.464208242950108,0.321041214750542,0.214750542299349
DVU0008,0.195121951219512,0.414634146341463,0.390243902439024,0.317073170731707,0.341463414634146,0.341463414634146,0.414634146341463,0.292682926829268,0.292682926829268,0.268292682926829,0.390243902439024,0.341463414634146,0.0975609756097561,0.878048780487805,0.024390243902439,0.51219512195122,0.292682926829268,0.195121951219512,0.365853658536585,0.195121951219512,0.439024390243902
DVU0009,0.103286384976526,0.443661971830986,0.453051643192488,0.460093896713615,0.377934272300469,0.161971830985915,0.462441314553991,0.424882629107981,0.112676056338028,0.392018779342723,0.446009389671362,0.161971830985915,0.0422535211267606,0.915492957746479,0.0422535211267606,0.453051643192488,0.295774647887324,0.251173708920188,0.673708920187793,0.103286384976526,0.223004694835681
DVU0010,0.191489361702128,0.446808510638298,0.361702127659574,0.452127659574468,0.308510638297872,0.23936170212766,0.367021276595745,0.393617021276596,0.23936170212766,0.393617021276596,0.367021276595745,0.23936170212766,0.0957446808510638,0.835106382978723,0.0691489361702128,0.547872340425532,0.218085106382979,0.234042553191489,0.579787234042553,0.191489361702128,0.228723404255319
DVU0011,0.278592375366569,0.3841642228739,0.337243401759531,0.404692082111437,0.360703812316716,0.234604105571848,0.351906158357771,0.334310850439883,0.313782991202346,0.337243401759531,0.428152492668622,0.234604105571848,0.0997067448680352,0.797653958944281,0.102639296187683,0.50733137829912,0.266862170087977,0.225806451612903,0.475073313782991,0.278592375366569,0.24633431085044
DVU0012,0.3025,0.4425,0.255,0.475,0.315,0.21,0.2675,0.415,0.3175,0.3775,0.4125,0.21,0.11,0.76,0.13,0.525,0.21,0.265,0.4475,0.3025,0.25
DVU0013,0.31063122923588,0.368770764119601,0.320598006644518,0.388704318936877,0.355481727574751,0.255813953488372,0.335548172757475,0.333887043189369,0.330564784053156,0.340531561461794,0.403654485049834,0.255813953488372,0.137873754152824,0.725913621262459,0.136212624584718,0.493355481727575,0.257475083056478,0.249169435215947,0.473421926910299,0.31063122923588,0.215946843853821
DVU0014,0.375,0.291666666666667,0.333333333333333,0.277777777777778,0.388888888888889,0.333333333333333,0.375,0.222222222222222,0.402777777777778,0.236111111111111,0.430555555555556,0.333333333333333,0.180555555555556,0.680555555555556,0.138888888888889,0.527777777777778,0.25,0.222222222222222,0.416666666666667,0.375,0.208333333333333
DVU0015,0.174904942965779,0.387832699619772,0.437262357414449,0.376425855513308,0.330798479087452,0.29277566539924,0.475285171102662,0.334600760456274,0.190114068441065,0.304182509505703,0.403041825095057,0.29277566539924,0.0760456273764259,0.866920152091255,0.0570342205323194,0.368821292775665,0.330798479087452,0.300380228136882,0.593155893536122,0.174904942965779,0.231939163498099
DVU0016,0.323529411764706,0.382352941176471,0.294117647058824,0.411764705882353,0.235294117647059,0.352941176470588,0.323529411764706,0.294117647058824,0.382352941176471,0.294117647058824,0.352941176470588,0.352941176470588,0.235294117647059,0.735294117647059,0.0294117647058824,0.529411764705882,0.264705882352941,0.205882352941176,0.5,0.323529411764706,0.176470588235294
DVU0017,0.275862068965517,0.396551724137931,0.327586206896552,0.379310344827586,0.293103448275862,0.327586206896552,0.344827586206897,0.344827586206897,0.310344827586207,0.327586206896552,0.344827586206897,0.327586206896552,0.120689655172414,0.793103448275862,0.0862068965517241,0.482758620689655,0.241379310344828,0.275862068965517,0.396551724137931,0.275862068965517,0.327586206896552
