,SOCN_Schneider.lag1,SOCN_Schneider.lag2,SOCN_Schneider.lag3,SOCN_Schneider.lag4,SOCN_Schneider.lag5,SOCN_Schneider.lag6,SOCN_Schneider.lag7,SOCN_Schneider.lag8,SOCN_Schneider.lag9,SOCN_Schneider.lag10,SOCN_Schneider.lag11,SOCN_Schneider.lag12,SOCN_Schneider.lag13,SOCN_Schneider.lag14,SOCN_Schneider.lag15,SOCN_Schneider.lag16,SOCN_Schneider.lag17,SOCN_Schneider.lag18,SOCN_Schneider.lag19,SOCN_Schneider.lag20,SOCN_Schneider.lag21,SOCN_Schneider.lag22,SOCN_Schneider.lag23,SOCN_Schneider.lag24,SOCN_Schneider.lag25,SOCN_Schneider.lag26,SOCN_Schneider.lag27,SOCN_Schneider.lag28,SOCN_Schneider.lag29,SOCN_Schneider.lag30,SOCN_Grantham.lag1,SOCN_Grantham.lag2,SOCN_Grantham.lag3,SOCN_Grantham.lag4,SOCN_Grantham.lag5,SOCN_Grantham.lag6,SOCN_Grantham.lag7,SOCN_Grantham.lag8,SOCN_Grantham.lag9,SOCN_Grantham.lag10,SOCN_Grantham.lag11,SOCN_Grantham.lag12,SOCN_Grantham.lag13,SOCN_Grantham.lag14,SOCN_Grantham.lag15,SOCN_Grantham.lag16,SOCN_Grantham.lag17,SOCN_Grantham.lag18,SOCN_Grantham.lag19,SOCN_Grantham.lag20,SOCN_Grantham.lag21,SOCN_Grantham.lag22,SOCN_Grantham.lag23,SOCN_Grantham.lag24,SOCN_Grantham.lag25,SOCN_Grantham.lag26,SOCN_Grantham.lag27,SOCN_Grantham.lag28,SOCN_Grantham.lag29,SOCN_Grantham.lag30
DVU0001,168.429909,175.778879,178.967123,169.679548,164.867731,169.336493,164.132357,164.866628,160.00807,171.753004,157.051579,168.918181,157.989263,170.346146,171.561164,164.396765,158.197337,162.602511,155.836379,158.657466,161.829866,166.460349,170.627473,154.786614,155.253314,157.361512,157.955664,160.28397,161.224313,154.444917,4402870,4574980,4384413,4221128,4384054,4462831,4214663,4250433,4326537,4359206,4204533,4404766,4091775,4121959,4305962,4176011,3898908,4281140,4113366,3971356,4060048,4483152,4224808,3978224,4188894,4246651,4200950,3985379,3910216,4025755
DVU0002,144.159279,146.097199,147.862212,140.243027,146.974599,146.153784,138.093484,132.93317,125.06135,151.261706,141.382587,142.43789,136.199545,147.194472,133.507358,137.444996,140.227608,139.844874,129.445177,132.971726,138.903064,128.530735,144.393832,127.125782,136.129042,138.872987,139.580642,122.767946,142.329249,137.523311,4014828,3996723,3892388,4006886,4088477,4071523,4010944,3812554,3546286,3998009,3927408,3862195,3861850,4071869,3884198,3800501,3963806,3854116,3712748,3659953,3790377,3638420,3939075,3478498,3512257,3812287,3707563,3615624,3663853,3821020
DVU0003,325.201526,318.658964,305.354121,312.38014,314.54098,321.069393,309.052645,319.697596,328.805985,315.097132,290.919307,306.801805,306.113172,314.533916,311.05118,302.574195,309.693209,314.621072,290.896448,296.36343,305.186225,313.470076,311.445165,289.024701,317.263894,306.062915,291.431531,301.132601,308.600993,287.77509,7769043,7793134,7827598,7744007,7686991,8037442,7829463,8029329,7921026,7753805,7407965,7528155,7546299,7753379,7534984,7589102,7477042,7864242,7503838,7286924,7612225,7528744,7441519,7272054,7516324,7403285,7243866,7472020,7407326,7427100
DVU0004,326.587102,342.44698,337.937806,326.482084,342.949529,344.182377,317.956943,335.891279,322.449578,326.590328,319.961745,323.476073,311.307572,316.334362,319.168804,334.410237,331.518253,335.209394,327.264623,339.881487,324.181091,341.102579,328.283484,308.699445,329.979472,327.505314,333.023331,332.469305,316.673082,333.027773,7998721,8472939,7986089,7933545,8472778,8334462,7995399,7838312,7758915,7791767,7631780,7785419,7652062,7868874,7730225,8043028,7930698,7738293,7875058,7892776,7803319,8050870,8135941,7772806,8041913,7895926,7821026,7847099,7523974,8138094
DVU0005,115.782244,111.809333,98.389789,101.248508,111.664966,92.468345,91.330174,112.990187,101.278633,98.560633,106.904575,108.435616,101.579419,97.439247,105.646903,91.704422,94.365205,97.331338,104.093432,97.327969,98.267548,92.991781,97.599027,94.874772,91.29292,100.225567,100.839075,92.997529,97.503498,99.236501,2765514,2834463,2422069,2569877,2660455,2351640,2303527,2747173,2709065,2438396,2527952,2632557,2501178,2355005,2554960,2315421,2280101,2326422,2562812,2211704,2276127,2318516,2358962,2331455,2327373,2429076,2534699,2352724,2377826,2537991
DVU0006,51.097167,57.436615,46.995309,50.041065,48.316592,46.799093,48.73325,47.797841,45.106859,53.265383,48.25333,42.950506,47.865606,46.536434,42.391243,44.935511,48.305561,49.136926,45.464535,43.46709,44.175453,45.031744,45.312315,44.530687,45.682627,38.921761,40.660815,46.822174,44.057589,39.579801,1433620,1646229,1482523,1560477,1590411,1594134,1494363,1351808,1412347,1550340,1320885,1370965,1382434,1407375,1367206,1283486,1314323,1478220,1321185,1317719,1412823,1322585,1208032,1253919,1338546,1299403,1221580,1254580,1297309,1237176
DVU0007,180.603615,171.840443,179.054308,174.459912,186.053508,177.126657,175.510261,171.050894,169.452534,177.046301,172.870372,166.469311,171.982614,173.828451,171.128797,182.799771,164.582709,173.144413,168.243304,167.714876,168.491915,170.940487,168.956982,163.599362,151.815788,157.322173,168.355325,159.608364,172.071447,169.184261,4674182,4419917,4617343,4506505,4754901,4485942,4487159,4699370,4578495,4793516,4517665,4320483,4334008,4436678,4744651,4678229,4428236,4336371,4150818,4410096,4399603,4373504,4216328,4223341,4006800,4223040,4266220,4359103,4601694,4207700
DVU0008,14.25014,11.007973,14.534631,11.570864,13.041168,11.065096,10.90255,11.764261,11.876021,12.358197,11.487107,10.04583,10.400389,8.945223,8.668595,8.845119,7.205314,8.418339,6.9567,7.67372,5.765284,6.797672,5.613723,5.448916,4.53198,4.531047,4.013928,3.757481,3.412216,2.512859,346965,359851,361908,313433,329721,318403,320245,312377,304822,310301,287283,249924,273709,277328,209258,230908,235507,230560,191824,180453,152733,174524,175599,110314,133352,137221,137838,106208,129377,141477
DVU0009,93.132474,99.384729,91.664031,92.575492,95.145957,96.095338,92.527594,88.111707,96.706535,96.276265,101.262459,101.246023,94.529899,100.291414,95.099505,101.137713,96.449597,97.281457,96.674938,98.273107,99.440316,96.338909,90.76802,93.634983,95.821435,97.104616,98.63072,94.871183,96.276737,100.870639,3682917,3929240,3827429,3600161,3515347,3806751,3743275,3323613,3589585,3614057,3774854,3929812,3458259,3708245,3526167,3729036,3477925,3520045,3601551,3570292,3640462,3589711,3205519,3347953,3393549,3731478,3534411,3420251,3493346,3683174
DVU0010,58.623022,69.171659,56.103403,54.177503,61.828276,58.634307,57.330404,59.807455,67.253024,59.949567,52.986524,58.235223,67.672017,62.703029,58.583763,57.965299,58.26262,66.006904,58.757864,55.083568,60.999277,61.057627,54.125458,54.369541,59.43576,54.468286,49.372268,53.879196,55.418587,53.389489,1583301,1685292,1458656,1502705,1622530,1550711,1544312,1609828,1685378,1592680,1456100,1582332,1737292,1567666,1518357,1559924,1516356,1727312,1579071,1475310,1557369,1557618,1483087,1608194,1552763,1477051,1415627,1540141,1479991,1472210
DVU0011,117.362699,126.609739,119.052305,127.229131,116.762287,124.388137,119.1643,109.579858,116.139429,117.166653,118.507958,114.731092,111.772564,114.923178,122.905918,114.421913,115.621802,106.902571,110.738494,105.804711,107.826509,110.065267,108.434922,124.602932,124.739496,103.957862,113.879567,112.587539,106.09468,108.374511,3285561,3482328,3268196,3383599,3257342,3353940,3406153,3157321,3140533,3146622,3206508,3044737,2962698,3174807,3120577,3090110,3088546,2872707,3079518,2975000,2941369,2755889,3009179,3262698,3089630,2930793,2997397,2953826,2821231,2995032
DVU0012,147.212757,134.088959,139.685527,132.211607,142.558884,137.446353,130.047147,141.9294,143.214382,136.278164,135.62473,143.790201,134.329305,134.168878,136.456227,132.060926,131.056723,121.824203,132.972242,133.651189,131.422827,136.525205,135.644843,130.445542,130.069623,121.136756,130.272708,124.237463,125.389631,127.780944,3646862,3396927,3421674,3532858,3593683,3654588,3391627,3553861,3657900,3527507,3500719,3708289,3390375,3466801,3359765,3441194,3402808,3208692,3325520,3292439,3410316,3510862,3520704,3554365,3375991,3346024,3426751,3322582,3254785,3375553
DVU0013,230.546006,240.568607,234.071474,214.460853,241.401845,235.591852,229.228142,214.976088,237.99885,239.086904,220.945924,219.189722,229.431316,245.208554,238.983075,232.517123,224.237672,231.559321,234.559386,233.916815,228.033897,222.232383,227.368057,219.763572,221.259678,246.494226,223.814728,222.589628,219.022004,226.031405,5693807,5938340,5714125,5261552,6073238,5807426,5659676,5532623,5760109,5638473,5655708,5386873,5575599,5591488,5626223,5601022,5473402,5511934,5839895,5560665,5635451,5476232,5544145,5419968,5503726,5692974,5378765,5265837,5390321,5392288
DVU0014,32.818432,28.102472,32.21398,28.847492,24.473229,30.054049,26.715762,27.404306,25.187212,20.092321,24.620817,21.459205,25.891516,25.218933,21.704031,23.167898,24.777331,22.873749,22.875827,20.310255,19.155536,20.493445,20.172898,19.85249,20.868542,17.957178,16.85076,20.9324,19.14313,21.82751,684822,651237,680395,613611,579123,685001,624359,627548,503720,494415,584953,489593,585612,489298,504294,554323,535494,533573,449882,447844,416601,432519,357242,384649,472557,396782,317212,449372,425079,416733
DVU0015,79.791824,89.699393,85.28191,76.753321,85.196832,86.719726,82.695098,78.846976,87.739656,86.842707,86.613194,82.928902,83.374459,80.415823,85.504893,80.839897,76.364291,74.333146,84.960885,83.280206,82.777579,73.54385,81.469405,77.750765,76.622701,74.201761,78.690624,82.586408,75.491814,70.587669,2588844,2848397,2619058,2405214,2524562,2673682,2649429,2502475,2658643,2684783,2822945,2624144,2572268,2587745,2799482,2450923,2398524,2325160,2737622,2567872,2490173,2222874,2444067,2465220,2380563,2328150,2474850,2426363,2257112,2154074
DVU0016,12.056031,10.162574,11.84845,12.883549,11.379897,11.152548,8.499526,8.673846,6.168524,10.13492,10.258826,9.876212,9.078779,9.511376,6.219766,6.705916,7.219558,6.820039,9.627017,6.96175,7.618901,4.981432,5.773884,3.767238,3.16858,4.489704,3.513434,4.31289,3.624093,2.606313,308144,390858,420657,405010,383675,406012,404689,407720,340212,348234,317285,355064,276109,193752,198547,210884,254697,217184,220284,187002,191699,171144,169021,150676,108236,113117,124550,123293,78190,46030
DVU0017,20.329211,23.240106,22.380024,19.126968,23.051752,19.108048,15.90489,18.469129,19.528448,16.97475,17.445595,18.186063,16.60224,14.013892,18.017494,15.397578,12.046974,16.368321,13.50086,13.687018,14.668776,15.349523,11.746947,11.051482,13.611295,13.62288,11.561213,11.261609,13.102526,10.540228,533585,591093,565610,493482,561474,372301,396705,443525,437683,431519,421300,485270,369985,395253,397972,373447,333602,487117,335657,304612,353933,363213,278242,311815,304141,307936,299822,294954,313734,204512
DVU0018,283.590344,285.314099,250.891331,270.315125,287.67467,265.951654,242.864595,273.50485,277.113613,265.936959,258.034994,290.668647,274.894032,256.605707,273.320414,291.940302,260.576029,259.436323,293.131815,278.750065,245.368266,274.927211,295.386462,249.608932,251.299104,293.222633,275.089367,229.035662,272.941401,287.245258,6996186,7134714,6405319,6579288,7120072,6793792,6184633,6800129,6616734,6756218,6399546,6940211,6771564,6458497,6666313,6938374,6702457,6425069,7013863,6797624,6222030,6827328,6950932,6249219,6340109,7078501,6702990,6051018,6690168,7124099
