,PseKNC_3_Xc1.AAA,PseKNC_3_Xc1.AAC,PseKNC_3_Xc1.AAG,PseKNC_3_Xc1.AAT,PseKNC_3_Xc1.ACA,PseKNC_3_Xc1.ACC,PseKNC_3_Xc1.ACG,PseKNC_3_Xc1.ACT,PseKNC_3_Xc1.AGA,PseKNC_3_Xc1.AGC,PseKNC_3_Xc1.AGG,PseKNC_3_Xc1.AGT,PseKNC_3_Xc1.ATA,PseKNC_3_Xc1.ATC,PseKNC_3_Xc1.ATG,PseKNC_3_Xc1.ATT,PseKNC_3_Xc1.CAA,PseKNC_3_Xc1.CAC,PseKNC_3_Xc1.CAG,PseKNC_3_Xc1.CAT,PseKNC_3_Xc1.CCA,PseKNC_3_Xc1.CCC,PseKNC_3_Xc1.CCG,PseKNC_3_Xc1.CCT,PseKNC_3_Xc1.CGA,PseKNC_3_Xc1.CGC,PseKNC_3_Xc1.CGG,PseKNC_3_Xc1.CGT,PseKNC_3_Xc1.CTA,PseKNC_3_Xc1.CTC,PseKNC_3_Xc1.CTG,PseKNC_3_Xc1.CTT,PseKNC_3_Xc1.GAA,PseKNC_3_Xc1.GAC,PseKNC_3_Xc1.GAG,PseKNC_3_Xc1.GAT,PseKNC_3_Xc1.GCA,PseKNC_3_Xc1.GCC,PseKNC_3_Xc1.GCG,PseKNC_3_Xc1.GCT,PseKNC_3_Xc1.GGA,PseKNC_3_Xc1.GGC,PseKNC_3_Xc1.GGG,PseKNC_3_Xc1.GGT,PseKNC_3_Xc1.GTA,PseKNC_3_Xc1.GTC,PseKNC_3_Xc1.GTG,PseKNC_3_Xc1.GTT,PseKNC_3_Xc1.TAA,PseKNC_3_Xc1.TAC,PseKNC_3_Xc1.TAG,PseKNC_3_Xc1.TAT,PseKNC_3_Xc1.TCA,PseKNC_3_Xc1.TCC,PseKNC_3_Xc1.TCG,PseKNC_3_Xc1.TCT,PseKNC_3_Xc1.TGA,PseKNC_3_Xc1.TGC,PseKNC_3_Xc1.TGG,PseKNC_3_Xc1.TGT,PseKNC_3_Xc1.TTA,PseKNC_3_Xc1.TTC,PseKNC_3_Xc1.TTG,PseKNC_3_Xc1.TTT,PseKNC_3_Xc2.lambda.1,PseKNC_3_Xc2.lambda.2,PseKNC_3_Xc2.lambda.3
DVU0001,0.003,0.006,0.002,0.001,0.005,0.006,0.006,0.004,0.002,0.004,0.004,0.001,0.001,0.003,0.003,0.001,0.004,0.007,0.006,0.004,0.005,0.008,0.006,0.007,0.007,0.01,0.006,0.004,0.001,0.006,0.006,0.005,0.004,0.006,0.003,0.001,0.008,0.009,0.008,0.004,0.003,0.007,0.004,0.004,0.001,0.004,0.004,0.003,0,0.002,0,0.001,0.004,0.004,0.006,0.004,0.002,0.007,0.004,0.002,0,0.006,0.003,0.001,0.303,0.217,0.218
DVU0002,0.001,0.003,0.007,0.002,0.003,0.006,0.003,0.003,0.004,0.005,0.005,0.002,0.002,0.006,0.005,0.001,0.004,0.003,0.006,0.007,0.005,0.003,0.008,0.006,0.01,0.006,0.006,0.005,0.002,0.006,0.004,0.004,0.008,0.007,0.003,0.002,0.005,0.008,0.007,0.004,0.003,0.006,0.004,0.005,0.002,0.005,0.004,0.002,0,0.003,0,0.002,0.005,0.005,0.008,0.004,0.003,0.007,0.003,0.001,0,0.005,0.001,0,0.297,0.232,0.208
DVU0003,0,0.005,0.006,0.001,0.004,0.006,0.007,0.002,0.003,0.004,0.005,0.002,0.001,0.004,0.003,0.001,0.006,0.004,0.004,0.006,0.005,0.004,0.007,0.004,0.008,0.01,0.007,0.005,0.002,0.004,0.004,0.003,0.005,0.008,0.005,0.002,0.007,0.005,0.01,0.005,0.004,0.009,0.005,0.004,0.002,0.003,0.005,0.002,0,0.002,0,0.001,0.004,0.003,0.007,0.002,0.003,0.005,0.004,0.001,0,0.005,0.001,0.001,0.306,0.22,0.217
DVU0004,0.001,0.004,0.005,0.001,0.004,0.006,0.006,0.002,0.003,0.003,0.005,0.002,0.001,0.005,0.003,0.001,0.004,0.005,0.004,0.007,0.005,0.004,0.006,0.004,0.009,0.01,0.007,0.005,0.001,0.004,0.005,0.002,0.006,0.006,0.004,0.002,0.007,0.006,0.01,0.003,0.003,0.008,0.004,0.005,0.002,0.005,0.006,0.002,0,0.002,0,0.001,0.004,0.003,0.008,0.002,0.003,0.006,0.004,0.002,0,0.004,0.001,0.001,0.31,0.222,0.214
DVU0005,0.001,0.004,0.003,0.002,0.004,0.005,0.006,0.003,0.003,0.002,0.006,0.001,0.001,0.002,0.003,0.001,0.003,0.005,0.004,0.003,0.004,0.004,0.007,0.006,0.008,0.01,0.006,0.005,0.002,0.006,0.006,0.004,0.006,0.005,0.005,0.002,0.004,0.008,0.011,0.006,0.005,0.011,0.007,0.003,0.001,0.004,0.005,0.002,0,0.003,0.001,0,0.004,0.004,0.005,0.004,0.002,0.005,0.007,0.003,0,0.004,0.003,0.001,0.299,0.217,0.221
DVU0006,0.001,0.005,0.004,0.001,0.003,0.008,0.007,0.002,0.005,0.001,0.003,0.002,0.002,0.004,0.003,0.002,0.003,0.005,0.004,0.007,0.005,0.004,0.006,0.004,0.005,0.009,0.009,0.006,0.001,0.004,0.004,0.003,0.007,0.007,0.002,0.002,0.007,0.004,0.01,0.004,0.005,0.01,0.005,0.002,0.002,0.004,0.005,0.002,0,0.002,0.001,0.002,0.003,0.002,0.007,0.002,0.003,0.005,0.004,0.003,0,0.003,0.003,0,0.313,0.221,0.212
DVU0007,0.001,0.005,0.004,0.002,0.004,0.006,0.007,0.002,0.004,0.003,0.003,0.001,0.001,0.004,0.004,0.002,0.004,0.005,0.004,0.005,0.004,0.006,0.009,0.006,0.008,0.011,0.006,0.005,0.002,0.005,0.004,0.004,0.007,0.006,0.004,0.002,0.007,0.009,0.006,0.004,0.003,0.006,0.004,0.003,0.002,0.003,0.004,0.002,0,0.003,0,0.001,0.003,0.004,0.008,0.003,0.003,0.006,0.003,0.001,0,0.007,0.001,0.001,0.302,0.216,0.224
DVU0008,0.002,0.009,0.002,0,0.009,0.005,0.002,0,0,0.002,0.003,0.002,0.007,0.005,0.01,0.007,0.002,0.007,0.003,0.012,0.003,0.002,0.003,0.002,0.005,0.003,0,0.002,0.002,0,0.002,0.002,0.003,0,0.002,0.007,0.005,0.003,0.003,0.002,0.002,0.003,0,0,0.002,0.005,0.003,0,0.005,0,0.002,0.01,0.007,0,0.002,0.002,0.005,0.005,0.002,0.007,0.007,0,0.003,0.002,0.338,0.211,0.237
DVU0009,0,0.002,0.001,0,0.001,0.004,0.003,0.001,0.001,0.003,0.002,0,0,0.006,0.006,0.001,0.001,0.003,0.003,0.009,0.004,0.009,0.01,0.007,0.003,0.011,0.008,0.006,0,0.007,0.008,0.005,0.001,0.003,0.002,0.003,0.005,0.012,0.006,0.008,0.003,0.009,0.006,0.005,0.001,0.005,0.007,0.001,0,0.001,0,0.001,0.006,0.005,0.009,0.004,0.002,0.009,0.008,0.002,0,0.006,0.001,0.001,0.304,0.234,0.203
DVU0010,0.001,0.001,0,0.001,0.003,0.004,0.006,0.003,0.002,0.001,0.004,0.001,0.001,0.003,0.004,0.001,0.001,0.008,0.005,0.008,0.005,0.007,0.007,0.004,0.002,0.009,0.009,0.004,0,0.003,0.007,0.007,0.001,0.005,0.002,0.001,0.009,0.008,0.008,0.006,0.004,0.013,0.004,0.004,0.001,0.005,0.004,0.002,0,0.002,0,0,0.005,0.004,0.003,0.004,0.001,0.009,0.008,0.003,0,0.005,0.005,0.002,0.309,0.214,0.226
