kmer_2_AA,kmer_2_AC,kmer_2_AG,kmer_2_AT,kmer_2_CA,kmer_2_CC,kmer_2_CG,kmer_2_CT,kmer_2_GA,kmer_2_GC,kmer_2_GG,kmer_2_GT,kmer_2_TA,kmer_2_TC,kmer_2_TG,kmer_2_TT
DVU0001,57,105,56,37,111,129,135,91,72,140,86,58,16,92,78,50
DVU0002,59,69,71,57,82,94,115,71,88,104,79,54,27,95,60,29
DVU0003,111,179,133,84,185,180,285,121,174,257,198,110,36,155,124,64
DVU0004,111,185,130,108,202,198,305,118,182,265,208,141,39,175,153,50
DVU0005,30,53,38,21,44,62,89,55,55,86,80,36,12,49,51,24
DVU0006,20,37,20,20,34,35,55,22,34,47,40,23,9,27,29,12
DVU0007,58,99,64,58,97,133,161,83,99,142,92,55,24,100,72,48
DVU0008,7,9,5,17,14,6,6,3,7,8,3,6,10,6,11,7
DVU0009,13,45,28,63,81,143,137,103,45,157,119,69,10,119,106,42
DVU0010,7,36,17,22,50,52,55,39,20,72,55,27,5,36,47,26
DVU0011,33,76,48,38,89,94,102,68,59,108,78,48,14,75,65,30
DVU0012,39,65,76,36,79,103,131,65,81,147,103,68,17,63,89,40
DVU0013,66,95,96,74,119,137,213,95,117,207,168,103,28,125,119,46
DVU0014,13,12,15,11,17,19,16,9,14,19,14,15,6,11,18,9
DVU0015,16,39,16,35,48,67,72,60,27,80,90,50,15,61,69,46
DVU0016,12,5,5,4,8,3,7,7,5,14,9,6,1,3,13,2
DVU0017,10,12,9,13,12,14,10,8,17,10,18,6,5,8,14,10
DVU0018,104,103,165,124,165,97,192,111,174,218,230,125,52,147,161,81
DVU0019,33,43,46,28,57,55,47,33,48,56,42,21,12,38,32,17
DVU0020,4,10,5,7,11,18,16,7,9,16,9,8,2,8,12,4
DVU0021,34,80,37,46,69,107,120,71,71,111,56,44,24,69,68,39
DVU0022,73,155,106,101,196,226,263,143,133,270,186,108,32,177,143,69
DVU0023,9,10,10,15,14,7,14,7,16,11,22,15,5,14,18,10
DVU0024,15,6,13,7,10,11,15,6,12,15,19,13,3,10,13,2
DVU0025,54,165,95,91,190,226,234,128,139,231,157,87,22,156,128,56
DVU0026,9,38,19,20,36,44,66,28,31,62,57,45,11,30,53,23
DVU0027,41,80,36,54,107,163,138,128,47,154,98,75,16,139,102,46
DVU0028,12,16,16,16,18,29,47,12,25,33,47,31,5,28,26,16
DVU0029,31,82,55,67,102,164,210,83,81,233,198,108,20,80,158,40
DVU4013,6,16,9,4,10,14,25,11,13,17,24,13,6,13,9,7
DVU0030,41,112,58,50,119,165,184,85,79,188,139,64,22,88,89,19
DVU0031,11,39,36,25,48,89,120,58,46,131,143,66,6,56,87,25
DVU0032,5,17,4,14,19,33,34,30,12,47,28,19,4,19,40,10
DVU0033,12,28,20,28,30,64,69,35,38,70,60,42,8,36,61,13
DVU0034,36,53,55,17,54,75,72,50,58,85,62,41,12,38,58,19
DVU0035,5,6,9,8,14,12,23,10,4,22,18,8,4,19,3,8
DVU0036,18,33,33,18,42,36,47,19,39,51,35,19,3,24,29,9
DVU0037,10,21,16,14,25,36,52,24,22,44,45,28,4,36,26,13
DVU0038,38,114,62,43,114,246,218,143,82,243,156,75,23,118,120,55
DVU0039,10,29,35,15,29,54,61,35,40,63,45,25,9,33,33,14
DVU0040,10,32,20,28,29,53,65,39,41,67,80,35,9,34,59,13
DVU0041,76,113,91,57,134,224,201,106,90,216,121,70,36,112,85,31
DVU0042,28,75,39,33,60,112,161,59,70,158,125,60,16,47,89,19
DVU0043,7,11,12,21,25,18,18,16,15,17,22,17,4,31,19,16
DVU0044,23,36,32,42,66,66,55,47,37,71,53,32,8,61,52,26
DVU0045,11,36,24,14,33,53,58,38,31,62,45,22,10,31,34,19
DVU0046,31,29,42,13,39,33,54,29,41,57,51,21,4,36,23,9
DVU0047,30,29,35,13,35,45,57,33,35,62,49,18,6,34,24,10
DVU0048,22,52,38,18,44,86,86,44,55,81,58,35,8,41,48,24
DVU0049,29,86,33,27,73,137,148,67,61,129,96,41,12,73,50,32
DVU0050,22,42,34,33,56,92,78,58,44,88,60,21,8,62,42,18
DVU0051,30,49,37,20,47,66,86,43,53,86,60,36,6,41,52,16
DVU0052,45,57,54,36,75,93,98,54,63,99,70,37,8,71,48,18
DVU0053,48,110,72,66,138,167,240,121,85,269,240,119,24,120,162,55
DVU0054,25,67,45,41,68,125,148,74,66,159,132,78,19,64,110,38
DVU0055,27,44,51,30,55,64,99,40,58,108,100,49,11,42,66,28
DVU0056,58,62,43,46,76,82,95,48,61,78,85,52,13,79,54,21
DVU0057,20,36,32,31,39,45,77,26,44,72,66,38,16,34,45,20
DVU0058,23,59,50,28,51,84,163,53,79,162,143,79,7,46,107,17
DVU0059,85,187,144,128,205,303,459,213,216,459,420,227,37,231,300,96
DVU0060,35,60,78,37,85,136,140,53,73,135,104,66,16,83,57,26
DVU0061,95,180,142,136,257,279,334,172,158,325,261,199,43,258,206,95
DVU0062,33,85,81,44,91,155,190,94,97,200,142,65,22,90,91,34
DVU0063,15,17,30,20,32,38,38,23,27,47,44,28,7,29,35,10
DVU0064,26,59,37,28,50,79,107,60,55,91,82,58,19,67,60,30
DVU0065,6,46,24,21,41,78,95,48,36,96,99,55,14,42,68,28
DVU0066,11,38,26,26,37,50,65,32,40,63,47,29,12,33,42,18
DVU0067,12,23,14,12,27,37,28,19,16,31,31,10,6,20,15,7
DVU0068,38,123,56,48,113,171,197,77,90,178,137,77,24,86,92,28
DVU0069,133,359,175,93,321,521,622,265,273,624,354,115,33,225,215,75
DVU0070,22,97,49,41,95,169,190,77,79,177,106,59,13,88,76,17
