DCC_Twist.Tilt.lag.1,DCC_Twist.Tilt.lag.2,DCC_Tilt.Twist.lag.1,DCC_Tilt.Twist.lag.2
DVU0001,-0.254,0.016,-0.263,0.029
DVU0002,-0.234,-0.046,-0.254,-0.021
DVU0003,-0.277,0.042,-0.254,-0.005
DVU0004,-0.287,0.007,-0.277,0
DVU0005,-0.275,0.033,-0.248,-0.001
DVU0006,-0.288,0.001,-0.331,0.084
DVU0007,-0.268,0.014,-0.277,0.037
DVU0008,-0.42,0.035,-0.535,0.168
DVU0009,-0.266,-0.012,-0.279,-0.023
DVU0010,-0.303,0.058,-0.334,0.07
DVU0011,-0.284,0.032,-0.297,0.04
DVU0012,-0.292,0.069,-0.263,0.028
DVU0013,-0.277,0.022,-0.265,0.029
DVU0014,-0.328,0.033,-0.28,0.031
DVU0015,-0.322,0.043,-0.296,0.023
DVU0016,-0.382,0.103,-0.278,0.207
DVU0017,-0.313,0.053,-0.283,0.022
DVU0018,-0.285,-0.025,-0.24,-0.005
DVU0019,-0.271,0.035,-0.299,0.059
DVU0020,-0.277,0.095,-0.305,0.07
DVU0021,-0.307,0.034,-0.314,0
DVU0022,-0.272,0.022,-0.285,0.014
DVU0023,-0.324,-0.002,-0.209,-0.001
DVU0024,-0.326,0.116,-0.203,-0.069
DVU0025,-0.264,0.008,-0.314,0.03
DVU0026,-0.392,0.122,-0.359,0.073
DVU0027,-0.256,-0.016,-0.295,-0.03
DVU0028,-0.313,0.059,-0.237,0.028
DVU0029,-0.369,0.014,-0.281,-0.005
DVU4013,-0.328,0.082,-0.291,0.041
DVU0030,-0.292,-0.01,-0.302,0.009
DVU0031,-0.311,0.024,-0.252,0.006
DVU0032,-0.358,0.064,-0.276,-0.069
DVU0033,-0.344,-0.003,-0.268,-0.012
DVU0034,-0.234,-0.003,-0.241,-0.042
DVU0035,-0.256,-0.073,-0.292,0
DVU0036,-0.266,0.019,-0.274,0.044
DVU0037,-0.259,-0.043,-0.294,0.029
DVU0038,-0.24,0.017,-0.272,0.012
DVU0039,-0.244,-0.001,-0.238,0.041
DVU0040,-0.366,0.047,-0.251,0.03
DVU0041,-0.25,-0.004,-0.288,0.019
DVU0042,-0.355,0.014,-0.268,-0.003
DVU0043,-0.232,-0.074,-0.262,-0.093
DVU0044,-0.245,-0.008,-0.276,-0.017
DVU0045,-0.279,-0.023,-0.268,-0.02
DVU0046,-0.207,-0.04,-0.15,-0.133
DVU0047,-0.217,-0.043,-0.187,-0.057
DVU0048,-0.268,0.034,-0.252,0.011
DVU0049,-0.276,0.021,-0.265,-0.032
DVU0050,-0.184,-0.048,-0.228,0.009
DVU0051,-0.315,0.045,-0.281,0.077
DVU0052,-0.187,-0.038,-0.217,0.012
DVU0053,-0.312,0.027,-0.297,0.037
DVU0054,-0.333,0.066,-0.288,0.043
DVU0055,-0.301,0.035,-0.221,-0.014
DVU0056,-0.249,-0.047,-0.265,-0.022
DVU0057,-0.344,0.097,-0.328,0.081
DVU0058,-0.364,0.044,-0.255,0.006
DVU0059,-0.315,0.041,-0.249,-0.006
DVU0060,-0.209,-0.028,-0.272,-0.028
DVU0061,-0.276,-0.035,-0.308,-0.025
DVU0062,-0.266,-0.002,-0.258,-0.011
DVU0063,-0.246,0.101,-0.248,0.073
DVU0064,-0.31,-0.045,-0.264,-0.071
DVU0065,-0.35,0.006,-0.324,0.023
DVU0066,-0.327,0.062,-0.294,0.049
DVU0067,-0.264,0.01,-0.335,0.025
DVU0068,-0.314,0.052,-0.31,0.032
DVU0069,-0.266,-0.001,-0.273,0.031
DVU0070,-0.276,0.022,-0.291,0.029
DVU0071,-0.308,0.012,-0.211,-0.026
DVU0072,-0.294,0.015,-0.284,0.012
DVU0073,-0.316,0.051,-0.304,0.011
DVU0074,-0.324,0.066,-0.307,-0.003
DVU0075,-0.257,-0.047,-0.321,-0.014
DVU0076,-0.256,-0.002,-0.291,0.012
DVU0077,-0.296,-0.01,-0.319,0.032
DVU0078,-0.354,0.004,-0.308,0.025
DVU0079,-0.301,0.012,-0.261,0.009
DVU0080,-0.316,0.022,-0.258,0.001
DVU0081,-0.283,0.025,-0.283,0.025
DVU0082,-0.264,-0.013,-0.266,-0.003
DVU0083,-0.348,0.092,-0.275,0.094
DVU0084,-0.329,0.005,-0.331,-0.005
DVU0085,-0.267,-0.012,-0.284,0.014
DVU0086,-0.167,-0.008,-0.205,0.007
DVU0087,-0.303,0.063,-0.278,0.046
DVU0088,-0.317,-0.02,-0.323,-0.008
DVU0089,-0.282,-0.008,-0.312,0.011
DVU0090,-0.305,0.008,-0.286,0.045
DVU0091,-0.273,0.007,-0.247,0.006
DVU0092,-0.275,0.028,-0.291,0.025
DVU0093,-0.279,0.018,-0.35,0.069
DVU0094,-0.326,0.043,-0.264,0.04
DVU0095,-0.257,-0.036,-0.254,-0.053
DVU0096,-0.279,-0.013,-0.32,0.014
DVU0097,-0.284,0.033,-0.291,0.015
DVU0098,-0.285,0.01,-0.257,-0.001
DVU0099,-0.301,-0.003,-0.287,-0.029
DVU0100,-0.328,0.028,-0.302,0.005
DVU0101,-0.344,0.087,-0.278,0.034
DVU0102,-0.324,0.023,-0.273,0.031
DVU0103,-0.345,0.059,-0.26,-0.019
DVU0104,-0.322,-0.016,-0.258,-0.027
DVU0105,-0.219,-0.004,-0.239,-0.01
DVU0106,-0.211,-0.043,-0.324,0.01
DVU0107,-0.248,-0.056,-0.265,-0.058
DVU0108,-0.42,0.207,-0.288,0.227
DVU0109,-0.253,0.005,-0.237,-0.011
DVU0110,-0.282,0.007,-0.267,-0.005
