,PseKNC_5_Xc1.AAA,PseKNC_5_Xc1.AAC,PseKNC_5_Xc1.AAG,PseKNC_5_Xc1.AAT,PseKNC_5_Xc1.ACA,PseKNC_5_Xc1.ACC,PseKNC_5_Xc1.ACG,PseKNC_5_Xc1.ACT,PseKNC_5_Xc1.AGA,PseKNC_5_Xc1.AGC,PseKNC_5_Xc1.AGG,PseKNC_5_Xc1.AGT,PseKNC_5_Xc1.ATA,PseKNC_5_Xc1.ATC,PseKNC_5_Xc1.ATG,PseKNC_5_Xc1.ATT,PseKNC_5_Xc1.CAA,PseKNC_5_Xc1.CAC,PseKNC_5_Xc1.CAG,PseKNC_5_Xc1.CAT,PseKNC_5_Xc1.CCA,PseKNC_5_Xc1.CCC,PseKNC_5_Xc1.CCG,PseKNC_5_Xc1.CCT,PseKNC_5_Xc1.CGA,PseKNC_5_Xc1.CGC,PseKNC_5_Xc1.CGG,PseKNC_5_Xc1.CGT,PseKNC_5_Xc1.CTA,PseKNC_5_Xc1.CTC,PseKNC_5_Xc1.CTG,PseKNC_5_Xc1.CTT,PseKNC_5_Xc1.GAA,PseKNC_5_Xc1.GAC,PseKNC_5_Xc1.GAG,PseKNC_5_Xc1.GAT,PseKNC_5_Xc1.GCA,PseKNC_5_Xc1.GCC,PseKNC_5_Xc1.GCG,PseKNC_5_Xc1.GCT,PseKNC_5_Xc1.GGA,PseKNC_5_Xc1.GGC,PseKNC_5_Xc1.GGG,PseKNC_5_Xc1.GGT,PseKNC_5_Xc1.GTA,PseKNC_5_Xc1.GTC,PseKNC_5_Xc1.GTG,PseKNC_5_Xc1.GTT,PseKNC_5_Xc1.TAA,PseKNC_5_Xc1.TAC,PseKNC_5_Xc1.TAG,PseKNC_5_Xc1.TAT,PseKNC_5_Xc1.TCA,PseKNC_5_Xc1.TCC,PseKNC_5_Xc1.TCG,PseKNC_5_Xc1.TCT,PseKNC_5_Xc1.TGA,PseKNC_5_Xc1.TGC,PseKNC_5_Xc1.TGG,PseKNC_5_Xc1.TGT,PseKNC_5_Xc1.TTA,PseKNC_5_Xc1.TTC,PseKNC_5_Xc1.TTG,PseKNC_5_Xc1.TTT,PseKNC_5_Xc2.lambda.1,PseKNC_5_Xc2.lambda.2,PseKNC_5_Xc2.lambda.3,PseKNC_5_Xc2.lambda.4,PseKNC_5_Xc2.lambda.5
DVU0001,0.002,0.004,0.001,0.001,0.004,0.004,0.004,0.002,0.002,0.003,0.003,0.001,0,0.002,0.002,0.001,0.003,0.005,0.004,0.003,0.003,0.005,0.004,0.005,0.005,0.007,0.004,0.003,0.001,0.004,0.004,0.004,0.003,0.004,0.002,0.001,0.005,0.006,0.005,0.002,0.002,0.005,0.002,0.002,0.001,0.003,0.003,0.002,0,0.001,0,0.001,0.003,0.003,0.004,0.003,0.002,0.005,0.003,0.001,0,0.004,0.002,0.001,0.208,0.149,0.15,0.16,0.154
DVU0002,0.001,0.002,0.005,0.001,0.002,0.004,0.002,0.002,0.003,0.003,0.004,0.002,0.001,0.004,0.003,0.001,0.003,0.002,0.004,0.005,0.003,0.002,0.005,0.004,0.007,0.004,0.004,0.003,0.001,0.004,0.003,0.002,0.005,0.005,0.002,0.001,0.004,0.006,0.005,0.002,0.002,0.004,0.003,0.003,0.002,0.003,0.003,0.001,0,0.002,0,0.002,0.003,0.003,0.006,0.003,0.002,0.005,0.002,0,0,0.003,0.001,0,0.203,0.159,0.142,0.16,0.157
DVU0003,0,0.004,0.004,0.001,0.003,0.004,0.005,0.001,0.002,0.003,0.004,0.001,0.001,0.003,0.002,0,0.004,0.003,0.003,0.004,0.003,0.003,0.005,0.003,0.006,0.007,0.005,0.003,0.001,0.003,0.003,0.002,0.003,0.005,0.003,0.001,0.005,0.004,0.007,0.004,0.003,0.006,0.003,0.003,0.001,0.002,0.004,0.002,0,0.002,0,0.001,0.003,0.002,0.005,0.002,0.002,0.003,0.003,0.001,0,0.004,0.001,0.001,0.21,0.152,0.149,0.158,0.155
DVU0004,0.001,0.003,0.003,0.001,0.002,0.004,0.004,0.002,0.002,0.002,0.004,0.001,0.001,0.004,0.002,0,0.003,0.004,0.002,0.005,0.003,0.003,0.004,0.003,0.006,0.007,0.005,0.003,0.001,0.003,0.003,0.001,0.004,0.004,0.003,0.001,0.005,0.004,0.007,0.002,0.002,0.005,0.003,0.003,0.001,0.003,0.004,0.001,0,0.002,0,0,0.003,0.002,0.006,0.001,0.002,0.004,0.003,0.001,0,0.002,0,0,0.212,0.151,0.146,0.16,0.157
DVU0005,0.001,0.003,0.002,0.001,0.003,0.003,0.004,0.002,0.002,0.001,0.004,0.001,0,0.002,0.002,0,0.002,0.003,0.003,0.002,0.003,0.003,0.005,0.004,0.006,0.007,0.004,0.003,0.001,0.004,0.004,0.003,0.004,0.004,0.003,0.001,0.003,0.006,0.008,0.004,0.003,0.008,0.005,0.002,0.001,0.003,0.003,0.001,0,0.002,0.001,0,0.003,0.003,0.003,0.003,0.002,0.004,0.005,0.002,0,0.003,0.002,0.001,0.206,0.149,0.152,0.162,0.149
DVU0006,0.001,0.004,0.003,0,0.002,0.006,0.005,0.002,0.004,0.001,0.002,0.001,0.002,0.003,0.002,0.001,0.002,0.004,0.003,0.005,0.003,0.003,0.004,0.003,0.004,0.006,0.006,0.004,0.001,0.003,0.003,0.002,0.005,0.005,0.002,0.001,0.005,0.003,0.007,0.003,0.003,0.007,0.004,0.001,0.001,0.003,0.003,0.002,0,0.002,0.001,0.001,0.002,0.002,0.005,0.002,0.002,0.004,0.003,0.002,0,0.002,0.002,0,0.214,0.152,0.145,0.172,0.143
DVU0007,0.001,0.003,0.002,0.001,0.003,0.004,0.005,0.001,0.003,0.002,0.002,0.001,0.001,0.003,0.003,0.002,0.002,0.003,0.003,0.004,0.003,0.004,0.006,0.004,0.005,0.008,0.004,0.003,0.001,0.003,0.003,0.003,0.004,0.004,0.003,0.002,0.005,0.007,0.004,0.003,0.002,0.004,0.003,0.002,0.001,0.002,0.003,0.001,0,0.002,0,0.001,0.002,0.003,0.006,0.002,0.002,0.004,0.002,0.001,0,0.005,0.001,0,0.207,0.148,0.154,0.154,0.16
DVU0008,0.001,0.006,0.001,0,0.006,0.004,0.001,0,0,0.001,0.002,0.001,0.005,0.004,0.007,0.005,0.001,0.005,0.002,0.008,0.002,0.001,0.002,0.001,0.004,0.002,0,0.001,0.001,0,0.001,0.001,0.002,0,0.001,0.005,0.004,0.002,0.002,0.001,0.001,0.002,0,0,0.001,0.004,0.002,0,0.004,0,0.001,0.007,0.005,0,0.001,0.001,0.004,0.004,0.001,0.005,0.005,0,0.002,0.001,0.223,0.142,0.156,0.173,0.159
DVU0009,0,0.001,0,0,0.001,0.003,0.002,0.001,0.001,0.002,0.001,0,0,0.004,0.004,0.001,0.001,0.002,0.002,0.006,0.002,0.006,0.007,0.005,0.002,0.007,0.006,0.004,0,0.005,0.005,0.004,0.001,0.002,0.001,0.002,0.004,0.008,0.004,0.006,0.002,0.006,0.004,0.004,0.001,0.003,0.005,0.001,0,0.001,0,0,0.004,0.003,0.006,0.003,0.002,0.006,0.005,0.002,0,0.004,0.001,0.001,0.206,0.159,0.138,0.16,0.161
DVU0010,0.001,0.001,0,0.001,0.002,0.003,0.004,0.002,0.002,0.001,0.002,0.001,0.001,0.002,0.003,0.001,0.001,0.006,0.003,0.005,0.003,0.005,0.005,0.003,0.001,0.006,0.006,0.003,0,0.002,0.005,0.005,0.001,0.003,0.001,0.001,0.006,0.006,0.006,0.004,0.003,0.009,0.002,0.003,0.001,0.003,0.003,0.001,0,0.001,0,0,0.003,0.003,0.002,0.003,0.001,0.006,0.006,0.002,0,0.003,0.003,0.001,0.213,0.148,0.156,0.154,0.154
